DailyQCReport_U0321SP_20260128_091829


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,2058.941,2.059526,2209.366
Violet,SSC,24,4,20,2005.391,4.525723,13033.37
Blue,SSC-B,79,0,0,1987.923,2.825981,11340.07
UV,UV1 (373),1236,-76,-5.792683,221.417,4.776841,31.23735
UV,UV2 (388),301,-13,-4.140128,1333.722,1.806314,387.8507
UV,UV3 (428),549,-23,-4.020979,1022.893,1.528579,1669.972
UV,UV4 (443),978,-44,-4.305284,881.103,1.670942,2146.721
UV,UV5 (458),571,-33,-5.463576,948.725,1.555496,2836.134
UV,UV6 (473),411,-17,-3.971963,1474.069,1.446214,5027.389
UV,UV7 (514),541,-26,-4.585538,2021.194,1.592489,7289.804
UV,UV8 (542),487,-22,-4.3222,1530.275,1.502942,4668.678
UV,UV9 (582),555,-28,-4.802744,2453.467,1.545323,4411.109
UV,UV10 (613),334,-15,-4.297995,1954.92,1.466216,4824.939
UV,UV11 (664),488,-21,-4.125737,869.944,1.589092,2038.01
UV,UV12 (692),398,-14,-3.398058,665.937,1.674025,1295.411
UV,UV13 (720),752,-18,-2.337662,693.457,1.869483,1177.511
UV,UV14 (750),1186,-34,-2.786885,797.749,2.1709,1608.838
UV,UV15 (780),724,-22,-2.949062,629.296,2.109708,827.7219
UV,UV16 (812),1031,-45,-4.182156,419.081,2.477371,615.5521
Violet,V1 (428),203,27,15.34091,794.691,1.388014,1479.878
Violet,V2 (443),276,36,15,1866.864,0.992741,3514.517
Violet,V3 (458),241,32,15.311,2168.082,1.094717,4461.409
Violet,V4 (473),201,28,16.18497,2170.831,1.270443,3601.198
Violet,V5 (508),190,25,15.15152,2036.069,1.071356,3889.695
Violet,V6 (525),193,23,13.52941,1527.899,0.9844372,2821.078
Violet,V7 (542),269,38,16.45022,2035.503,1.064095,2990.602
Violet,V8 (581),446,51,12.91139,2368.808,1.323067,1705.147
Violet,V9 (598),286,37,14.85944,2281.144,1.142874,1235.457
Violet,V10 (615),367,45,13.97515,3259.773,1.098395,1148.494
Violet,V11 (664),312,37,13.45455,1320.147,1.159011,480.3823
Violet,V12 (692),255,32,14.34978,1016.039,1.452463,269.4843
Violet,V13 (720),203,26,14.68927,1101.004,1.545034,200.0789
Violet,V14 (750),349,43,14.05229,928.726,1.417539,151.8685
Violet,V15 (780),425,54,14.55526,811.276,1.880957,101.7421
Violet,V16 (812),397,51,14.73988,359.492,2.157359,37.78842
Blue,B1 (508),671,10,1.512859,227.782,1.880934,460.1988
Blue,B2 (525),375,3,0.8064516,276.404,1.672258,391.8048
Blue,B3 (542),384,7,1.856764,1064.133,1.628536,1199.236
Blue,B4 (581),330,2,0.6097561,1655.414,1.577789,1300.623
Blue,B5 (598),347,1,0.2890173,1830.153,1.530586,1329.568
Blue,B6 (615),229,1,0.4385965,1907.645,1.702003,1112.012
Blue,B7 (661),357,-2,-0.557103,1138.112,1.634265,652.1541
Blue,B8 (679),366,3,0.8264462,935.783,1.702509,552.7056
Blue,B9 (697),619,10,1.642036,1128.282,1.900112,478.1846
Blue,B10 (717),417,16,3.990025,772.77,1.898177,211.9074
Blue,B11 (738),242,7,2.978724,503.628,1.9942,147.4531
Blue,B12 (760),338,15,4.643963,487.932,1.922828,116.4372
Blue,B13 (783),520,36,7.438017,386.068,2.175637,77.93349
Blue,B14 (812),526,25,4.99002,385.016,2.06864,80.16151
YellowGreen,YG1 (577),328,-4,-1.204819,1743.424,1.064497,1307.69
YellowGreen,YG2 (598),355,4,1.139601,2444.241,1.015783,1758.2
YellowGreen,YG3 (615),244,5,2.09205,3292.119,1.119881,2246.035
YellowGreen,YG4 (661),414,-5,-1.193317,1833.69,1.07281,1579.82
YellowGreen,YG5 (679),340,3,0.8902078,1595.657,1.12046,1238.029
YellowGreen,YG6 (697),487,4,0.8281574,1770.2,1.295253,735.5092
YellowGreen,YG7 (720),320,6,1.910828,2389.677,1.259951,748.6689
YellowGreen,YG8 (750),275,8,2.996255,1226.081,1.422268,357.7394
YellowGreen,YG9 (780),398,10,2.57732,1038.544,1.444647,225.809
YellowGreen,YG10 (812),400,12,3.092783,567.854,1.58341,107.2258
Red,R1 (661),201,-15,-6.944445,389.069,1.245684,1267.253
Red,R2 (679),171,-1,-0.5813953,1076.623,1.223786,2655.27
Red,R3 (697),247,3,1.229508,2013.995,1.254366,2378.515
Red,R4 (717),232,4,1.754386,1926.641,1.179715,1295.136
Red,R5 (738),213,3,1.428571,1621.743,1.331657,1001.4
Red,R6 (760),167,3,1.829268,1408.162,1.371946,688.8121
Red,R7 (783),334,6,1.829268,1573.033,1.384975,622.9194
Red,R8 (812),206,7,3.517588,782.732,1.439566,233.8841


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.325,1.15647,1.425
Violet,-20.075,1.056648,11.2
Blue,0,1.223035,1.475
Red,20.05,1.095773,64.96
UV,40.3,0.9474641,0
FSC Area Scaling Factor,1.273571,Window Extension,3
Flow Rate,12.03
Temperature,23
