DailyQCReport_U0321SP_20260116_071745


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,2028.254,2.626545,2224.088
Violet,SSC,23,3,15,2028.329,4.438697,12575.89
Blue,SSC-B,82,3,3.797468,2012.373,2.797736,10715.18
UV,UV1 (373),1340,28,2.134146,227.008,4.472496,31.03168
UV,UV2 (388),321,7,2.229299,1335.475,1.724844,379.9703
UV,UV3 (428),584,12,2.097902,1025.939,1.605546,1624.209
UV,UV4 (443),1043,21,2.054795,886.219,1.783326,2031.774
UV,UV5 (458),610,6,0.9933775,948.6405,1.652023,2865.398
UV,UV6 (473),437,9,2.102804,1476.677,1.561741,5104.09
UV,UV7 (514),575,8,1.410935,2010.488,1.691804,7059.774
UV,UV8 (542),520,11,2.1611,1542.538,1.560238,4838.982
UV,UV9 (582),589,6,1.02916,2466.25,1.61644,5057.787
UV,UV10 (613),351,2,0.5730659,1947.769,1.553137,4364.677
UV,UV11 (664),508,-1,-0.1964637,863.6545,1.656526,2140.556
UV,UV12 (692),414,2,0.4854369,664.8765,1.753669,1314.792
UV,UV13 (720),782,12,1.558442,699.1345,1.882113,1236.884
UV,UV14 (750),1219,-1,-0.08196721,791.735,2.115377,1557.584
UV,UV15 (780),753,7,0.9383377,633.327,2.097755,801.3958
UV,UV16 (812),1073,-3,-0.2788104,422.808,2.426983,640.3709
Violet,V1 (428),195,19,10.79545,798.92,1.305103,1521.141
Violet,V2 (443),268,28,11.66667,1863.896,0.9577906,3383.037
Violet,V3 (458),233,24,11.48325,2172.647,1.048083,4538.106
Violet,V4 (473),194,21,12.13873,2179.325,1.203323,4030.239
Violet,V5 (508),183,18,10.90909,2064.99,1.045371,3885.78
Violet,V6 (525),186,16,9.411765,1509.118,0.9679753,2891.955
Violet,V7 (542),260,29,12.55411,2048.758,1.065747,3358.728
Violet,V8 (581),432,37,9.367089,2364.236,1.332109,1655.538
Violet,V9 (598),271,22,8.835341,2273.382,1.148507,1178.695
Violet,V10 (615),348,26,8.074533,3268.449,1.123277,1236.087
Violet,V11 (664),301,26,9.454545,1328.107,1.171445,547.1294
Violet,V12 (692),241,18,8.071749,1017.409,1.375824,298.0488
Violet,V13 (720),192,15,8.474577,1100.081,1.39181,184.802
Violet,V14 (750),332,26,8.496733,934.0045,1.230495,152.039
Violet,V15 (780),404,33,8.894878,819.4425,1.640682,103.2605
Violet,V16 (812),379,33,9.537573,362.345,1.837092,40.84192
Blue,B1 (508),676,15,2.269289,224.292,1.99195,450.9493
Blue,B2 (525),380,8,2.150538,275.648,1.792735,403.4733
Blue,B3 (542),385,8,2.122016,1056.487,1.727475,1237.279
Blue,B4 (581),330,2,0.6097561,1656.082,1.67189,1420.26
Blue,B5 (598),343,-3,-0.867052,1816.393,1.636918,1333.453
Blue,B6 (615),228,0,0,1888.276,1.807488,1067.541
Blue,B7 (661),363,4,1.114206,1135.835,1.724797,683.6809
Blue,B8 (679),369,6,1.652892,928.307,1.778524,568.1382
Blue,B9 (697),628,19,3.119869,1136.264,1.997844,512.7059
Blue,B10 (717),417,16,3.990025,769.3385,1.973101,216.8061
Blue,B11 (738),243,8,3.404255,505.8605,2.033445,146.3566
Blue,B12 (760),339,16,4.95356,487.813,1.969432,111.6334
Blue,B13 (783),518,34,7.024793,386.8305,2.245085,77.0661
Blue,B14 (812),516,15,2.994012,386.594,2.116017,81.20903
YellowGreen,YG1 (577),330,-2,-0.6024096,1744.985,1.097479,1330.242
YellowGreen,YG2 (598),345,-6,-1.709402,2420.156,1.026888,1841.643
YellowGreen,YG3 (615),238,-1,-0.41841,3268.369,1.181115,2271.182
YellowGreen,YG4 (661),411,-8,-1.909308,1841.571,1.148186,1586.558
YellowGreen,YG5 (679),337,0,0,1597.608,1.2359,1306.039
YellowGreen,YG6 (697),480,-3,-0.621118,1785.641,1.401784,839.0219
YellowGreen,YG7 (720),313,-1,-0.3184713,2392.05,1.366461,727.8998
YellowGreen,YG8 (750),269,2,0.7490637,1228.635,1.454152,369.6836
YellowGreen,YG9 (780),389,1,0.2577319,1043.746,1.489138,238.8952
YellowGreen,YG10 (812),390,2,0.5154639,569.22,1.398934,101.5982
Red,R1 (661),208,-8,-3.703704,388.2545,1.256472,1342.317
Red,R2 (679),171,-1,-0.5813953,1072.16,1.208679,2772.439
Red,R3 (697),245,1,0.4098361,2037.016,1.188116,2445.414
Red,R4 (717),230,2,0.877193,1932.366,1.109311,1260.285
Red,R5 (738),210,0,0,1615.13,1.229834,981.6332
Red,R6 (760),165,1,0.6097561,1411.205,1.196282,703.6159
Red,R7 (783),330,2,0.6097561,1576.161,1.250127,584.9088
Red,R8 (812),203,4,2.01005,779.328,1.233175,223.6334


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.35,1.150003,1.45
Violet,-20.075,1.07039,11.15
Blue,0,1.213168,1.45
Red,19.975,1.087156,64.92
UV,40.325,0.9497964,0
FSC Area Scaling Factor,1.259134,Window Extension,3
Flow Rate,10.42
Temperature,22.5
