DailyQCReport_U0321SP_20260107_092200


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,2049.48,1.863328,2573.75
Violet,SSC,22,2,10,1986.988,4.439997,12540.58
Blue,SSC-B,80,1,1.265823,2004.125,2.781903,11292.92
UV,UV1 (373),1329,17,1.295732,220.5795,4.353475,29.90757
UV,UV2 (388),318,4,1.273885,1330.394,1.604702,388.9637
UV,UV3 (428),581,9,1.573427,1009.43,1.686095,1521.646
UV,UV4 (443),1029,7,0.6849315,889.15,1.920571,2117.934
UV,UV5 (458),610,6,0.9933775,951.7325,1.795377,2906.566
UV,UV6 (473),433,5,1.168224,1466.103,1.776882,5360.938
UV,UV7 (514),570,3,0.5291005,2027.433,1.930483,7597.028
UV,UV8 (542),517,8,1.571709,1552.573,1.869928,5004.6
UV,UV9 (582),592,9,1.543739,2468.485,1.993776,4505.225
UV,UV10 (613),357,8,2.292264,1955.262,1.863821,4678.648
UV,UV11 (664),509,0,0,865.6085,1.882844,2741.082
UV,UV12 (692),421,9,2.184466,662.22,1.990481,1306.175
UV,UV13 (720),796,26,3.376623,687.5965,2.358297,1144.097
UV,UV14 (750),1274,54,4.426229,803.272,2.634906,1568.245
UV,UV15 (780),778,32,4.289545,630.5465,2.627962,804.8064
UV,UV16 (812),1096,20,1.858736,420.653,2.941765,608.4025
Violet,V1 (428),188,12,6.818182,796.8325,1.371382,1444.203
Violet,V2 (443),259,19,7.916667,1847.281,0.9600946,3296.06
Violet,V3 (458),225,16,7.655502,2156.634,1.072862,4346.332
Violet,V4 (473),187,14,8.092485,2171.678,1.235044,3749.169
Violet,V5 (508),176,11,6.666667,2046.458,1.036361,3947.898
Violet,V6 (525),182,12,7.058824,1520.179,0.9774765,2667.339
Violet,V7 (542),250,19,8.225108,2038.475,1.084689,3011.629
Violet,V8 (581),419,24,6.075949,2378.518,1.382545,1652.266
Violet,V9 (598),269,20,8.032128,2288.376,1.180939,1153.304
Violet,V10 (615),345,23,7.142858,3268.662,1.141365,1093.66
Violet,V11 (664),293,18,6.545454,1332.156,1.164833,535.4777
Violet,V12 (692),243,20,8.96861,1031.382,1.453398,276.153
Violet,V13 (720),194,17,9.60452,1101.779,1.719776,182.0523
Violet,V14 (750),339,33,10.78431,942.0365,1.819145,168.6898
Violet,V15 (780),406,35,9.433963,809.985,2.157198,91.71657
Violet,V16 (812),386,40,11.56069,364.497,2.464767,37.80045
Blue,B1 (508),653,-8,-1.210287,224.8665,1.891955,442.6473
Blue,B2 (525),371,-1,-0.2688172,277.146,1.730931,404.9383
Blue,B3 (542),376,-1,-0.265252,1056.507,1.693815,1271.13
Blue,B4 (581),331,3,0.9146341,1640.405,1.654439,1318.635
Blue,B5 (598),355,9,2.601156,1833.41,1.598428,1349.626
Blue,B6 (615),234,6,2.631579,1903.699,1.75889,1085.381
Blue,B7 (661),360,1,0.2785515,1147.104,1.674614,674.3792
Blue,B8 (679),369,6,1.652892,924.9805,1.720889,550.8973
Blue,B9 (697),624,15,2.463054,1124.179,1.962448,509.0858
Blue,B10 (717),415,14,3.491272,769.907,2.031392,216.1691
Blue,B11 (738),241,6,2.553191,500.881,2.201216,137.3351
Blue,B12 (760),335,12,3.71517,489.391,2.222883,111.321
Blue,B13 (783),509,25,5.165289,384.99,2.483161,76.43052
Blue,B14 (812),531,30,5.988024,385.894,2.429651,77.04998
YellowGreen,YG1 (577),329,-3,-0.9036144,1752.765,1.224828,1235.318
YellowGreen,YG2 (598),359,8,2.279202,2455.225,1.076013,1787.291
YellowGreen,YG3 (615),247,8,3.34728,3301.768,1.215128,2323.993
YellowGreen,YG4 (661),413,-6,-1.431981,1837.631,1.17106,1693.709
YellowGreen,YG5 (679),340,3,0.8902078,1587.749,1.265692,1251.567
YellowGreen,YG6 (697),494,11,2.277433,1752.193,1.575748,726.2809
YellowGreen,YG7 (720),326,12,3.821656,2402.097,1.766746,768.7517
YellowGreen,YG8 (750),280,13,4.868914,1230.213,1.984837,357.8547
YellowGreen,YG9 (780),406,18,4.639175,1047.509,2.140155,233.1505
YellowGreen,YG10 (812),407,19,4.896907,565.11,2.271008,102.1091
Red,R1 (661),198,-18,-8.333334,387.512,1.25059,1257.194
Red,R2 (679),170,-2,-1.162791,1070.224,1.271335,2530.011
Red,R3 (697),252,8,3.278688,2032.111,1.507575,2097.041
Red,R4 (717),236,8,3.508772,1937.322,1.64784,1257.773
Red,R5 (738),219,9,4.285715,1631.267,1.881132,1020.865
Red,R6 (760),171,7,4.268293,1409.115,1.81176,724.1776
Red,R7 (783),340,12,3.658536,1574.958,1.954779,586.4319
Red,R8 (812),211,12,6.030151,782.2825,2.08115,234.1197


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.325,1.152631,1.475
Violet,-20.075,1.079526,11
Blue,0,1.21693,1.425
Red,19.975,1.087598,64.96
UV,40.3,0.9467469,0
FSC Area Scaling Factor,1.267457,Window Extension,3
Flow Rate,11.28
Temperature,22.88
