DailyQCReport_U0321SP_20260224_090951


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,167,-7,-4.022989,1927.328,2.613637,2326.531
Violet,SSC,25,5,25,1977.069,4.660118,12521.51
Blue,SSC-B,81,2,2.531646,2006.88,2.93093,10440.95
UV,UV1 (373),1415,103,7.85061,228.1455,4.470306,32.52032
UV,UV2 (388),337,23,7.324841,1327.487,1.543468,381.3004
UV,UV3 (428),606,34,5.944056,1003.878,1.676583,1562.348
UV,UV4 (443),1095,73,7.142858,885.3715,1.935114,2000.449
UV,UV5 (458),649,45,7.450331,962.1185,1.8266,2821.275
UV,UV6 (473),457,29,6.775701,1463.005,1.813419,4872.063
UV,UV7 (514),603,36,6.349207,2016.042,1.947805,6785.109
UV,UV8 (542),546,37,7.269155,1533.788,1.849586,4511.604
UV,UV9 (582),625,42,7.204117,2455.278,1.912829,4490.485
UV,UV10 (613),376,27,7.736389,1977.791,1.83102,4751.118
UV,UV11 (664),535,26,5.108055,861.702,1.877976,2070.72
UV,UV12 (692),434,22,5.339806,657.7495,1.910647,1272.819
UV,UV13 (720),833,63,8.181818,702.266,2.100499,1215.713
UV,UV14 (750),1317,97,7.95082,808.606,2.271933,1769.038
UV,UV15 (780),800,54,7.238605,632.0195,2.248934,839.7092
UV,UV16 (812),1146,70,6.505577,422.253,2.5304,640.9862
Violet,V1 (428),214,38,21.59091,801.9885,1.354247,1558.317
Violet,V2 (443),290,50,20.83333,1859.145,0.9498296,3391.165
Violet,V3 (458),249,40,19.13876,2137.562,1.05495,4636.332
Violet,V4 (473),210,37,21.38728,2172.483,1.22037,3652.024
Violet,V5 (508),200,35,21.21212,2051.889,1.034835,3855.094
Violet,V6 (525),203,33,19.41176,1528.072,0.9626917,2860.886
Violet,V7 (542),282,51,22.07792,2050.692,1.047058,3151.04
Violet,V8 (581),468,73,18.48101,2367.249,1.318179,1709.358
Violet,V9 (598),300,51,20.48193,2301.782,1.106172,1269.181
Violet,V10 (615),384,62,19.25466,3275.559,1.060134,1157.537
Violet,V11 (664),322,47,17.09091,1315.949,1.113346,499.6456
Violet,V12 (692),266,43,19.28251,1023.417,1.358392,277.6243
Violet,V13 (720),210,33,18.64407,1100.887,1.350488,180.1965
Violet,V14 (750),362,56,18.30065,930.508,1.213502,168.7243
Violet,V15 (780),442,71,19.13747,812.9435,1.619627,97.78767
Violet,V16 (812),414,68,19.65318,361.329,1.859001,40.89817
Blue,B1 (508),670,9,1.361573,230.34,1.921548,442.2125
Blue,B2 (525),373,1,0.2688172,278.6205,1.746539,378.9672
Blue,B3 (542),384,7,1.856764,1068.74,1.664954,1337.641
Blue,B4 (581),338,10,3.04878,1661.253,1.602062,1304.942
Blue,B5 (598),357,11,3.179191,1837.564,1.5582,1403.872
Blue,B6 (615),236,8,3.508772,1908.259,1.730205,1063.681
Blue,B7 (661),365,6,1.671309,1148.912,1.675044,622.4136
Blue,B8 (679),367,4,1.101928,923.132,1.73613,565.5045
Blue,B9 (697),622,13,2.134647,1130.994,1.902321,494.2589
Blue,B10 (717),412,11,2.743142,777.4815,1.87596,229.5436
Blue,B11 (738),240,5,2.12766,505.8945,1.976646,146.9343
Blue,B12 (760),330,7,2.167183,490.224,1.899613,114.7989
Blue,B13 (783),500,16,3.305785,385.7055,2.123846,76.46122
Blue,B14 (812),524,23,4.590818,388.005,2.013346,78.06355
YellowGreen,YG1 (577),334,2,0.6024096,1764.408,1.146316,1299.61
YellowGreen,YG2 (598),359,8,2.279202,2437.408,1.061132,1728.427
YellowGreen,YG3 (615),250,11,4.60251,3342.856,1.225132,2281.86
YellowGreen,YG4 (661),417,-2,-0.477327,1847.309,1.203547,1597.79
YellowGreen,YG5 (679),343,6,1.780416,1608.45,1.281114,1342.215
YellowGreen,YG6 (697),498,15,3.10559,1789.335,1.426405,734.7574
YellowGreen,YG7 (720),324,10,3.184713,2409.925,1.405063,752.8475
YellowGreen,YG8 (750),277,10,3.745318,1231.358,1.504435,383.4583
YellowGreen,YG9 (780),402,14,3.608247,1049.787,1.518363,222.7584
YellowGreen,YG10 (812),404,16,4.123711,568.0085,1.437035,109.1551
Red,R1 (661),199,-17,-7.87037,386.366,1.220602,1239.152
Red,R2 (679),169,-3,-1.744186,1075.869,1.246581,2667.94
Red,R3 (697),246,2,0.8196721,2023.835,1.238719,2217.038
Red,R4 (717),232,4,1.754386,1935.452,1.121643,1307.787
Red,R5 (738),212,2,0.952381,1621.169,1.258476,1015.033
Red,R6 (760),166,2,1.219512,1408.38,1.244293,700.1477
Red,R7 (783),334,6,1.829268,1582.07,1.285476,584.3285
Red,R8 (812),205,6,3.015075,782.3455,1.261886,233.6331


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.425,1.153419,1.45
Violet,-20.1,1.046866,11.15
Blue,0,1.218925,1.475
Red,20.05,1.090135,65
UV,40.325,0.9542176,0
FSC Area Scaling Factor,1.269015,Window Extension,3
Flow Rate,12.54
Temperature,23
