DailyQCReport_U0321SP_20260204_072537


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,2049.73,1.989748,1562.051
Violet,SSC,24,4,20,1983.706,4.549814,12761.88
Blue,SSC-B,80,1,1.265823,2007.21,2.744734,10125.39
UV,UV1 (373),1412,100,7.621952,228.894,4.626738,31.01825
UV,UV2 (388),336,22,7.00637,1330.482,1.637057,374.5073
UV,UV3 (428),608,36,6.293706,1011.027,1.627777,1567.947
UV,UV4 (443),1090,68,6.65362,889.336,1.839874,2087.093
UV,UV5 (458),639,35,5.794702,953.459,1.702962,2946.498
UV,UV6 (473),454,26,6.074767,1472.606,1.652874,5348.572
UV,UV7 (514),602,35,6.17284,2027.793,1.797304,7122.886
UV,UV8 (542),541,32,6.286837,1523.062,1.658886,5134.248
UV,UV9 (582),618,35,6.00343,2478.727,1.736058,4481.946
UV,UV10 (613),370,21,6.017192,1949.276,1.665034,4780.687
UV,UV11 (664),534,25,4.911592,867.918,1.746159,2173.718
UV,UV12 (692),432,20,4.854369,653.905,1.834293,1274.979
UV,UV13 (720),814,44,5.714286,692.325,1.96033,1176.639
UV,UV14 (750),1295,75,6.147541,796.272,2.193042,1538.295
UV,UV15 (780),791,45,6.032171,630.383,2.126265,765.1292
UV,UV16 (812),1125,49,4.553903,423.256,2.481174,618.0712
Violet,V1 (428),206,30,17.04545,800.474,1.407724,1530.097
Violet,V2 (443),280,40,16.66667,1865.893,0.9844749,3371.11
Violet,V3 (458),244,35,16.74641,2166.231,1.084465,4541.78
Violet,V4 (473),205,32,18.49711,2183.85,1.261716,3602.175
Violet,V5 (508),192,27,16.36364,2049.348,1.063668,3888.742
Violet,V6 (525),194,24,14.11765,1510.698,0.9800354,2789.881
Violet,V7 (542),273,42,18.18182,2051.271,1.081279,3172.489
Violet,V8 (581),457,62,15.6962,2408.719,1.337472,1733.559
Violet,V9 (598),287,38,15.26104,2286.828,1.152268,1186.633
Violet,V10 (615),371,49,15.21739,3280.243,1.103298,1133.43
Violet,V11 (664),318,43,15.63636,1340.342,1.157166,530.8177
Violet,V12 (692),256,33,14.79821,1017.293,1.365102,295.0002
Violet,V13 (720),202,25,14.12429,1097.786,1.335104,184.6576
Violet,V14 (750),349,43,14.05229,931.719,1.189558,154.0735
Violet,V15 (780),426,55,14.8248,815.359,1.598929,108.0489
Violet,V16 (812),397,51,14.73988,361.469,1.832891,38.46404
Blue,B1 (508),672,11,1.664145,227.832,1.895308,439.954
Blue,B2 (525),375,3,0.8064516,275.779,1.685699,398.061
Blue,B3 (542),383,6,1.591512,1050.662,1.624283,1151.238
Blue,B4 (581),332,4,1.219512,1654.128,1.569982,1334.843
Blue,B5 (598),346,0,0,1834.348,1.511306,1288.344
Blue,B6 (615),228,0,0,1893.982,1.683842,1031.832
Blue,B7 (661),360,1,0.2785515,1153.358,1.612535,670.0149
Blue,B8 (679),363,0,0,927.877,1.682769,566.4557
Blue,B9 (697),616,7,1.149425,1137.952,1.896194,475.4401
Blue,B10 (717),417,16,3.990025,782.46,1.853414,219.4867
Blue,B11 (738),239,4,1.702128,504.088,1.914621,139.2885
Blue,B12 (760),337,14,4.334365,493.236,1.853647,116.3564
Blue,B13 (783),513,29,5.991735,384.262,2.081231,77.05315
Blue,B14 (812),523,22,4.391218,389.417,2.030328,79.09557
YellowGreen,YG1 (577),329,-3,-0.9036144,1742.274,1.101636,1229.321
YellowGreen,YG2 (598),349,-2,-0.5698006,2409.666,1.062861,1783.454
YellowGreen,YG3 (615),240,1,0.41841,3262.95,1.213484,2269.552
YellowGreen,YG4 (661),417,-2,-0.477327,1866.356,1.163103,1494.492
YellowGreen,YG5 (679),334,-3,-0.8902078,1594.018,1.224595,1269.337
YellowGreen,YG6 (697),483,0,0,1772.236,1.396107,802.02
YellowGreen,YG7 (720),316,2,0.6369427,2400.912,1.359738,738.0765
YellowGreen,YG8 (750),270,3,1.123595,1227.204,1.453777,363.4633
YellowGreen,YG9 (780),390,2,0.5154639,1037.558,1.450247,232.2544
YellowGreen,YG10 (812),396,8,2.061856,574.125,1.390524,101.8931
Red,R1 (661),205,-11,-5.092593,394.519,1.271031,1268.163
Red,R2 (679),170,-2,-1.162791,1076.508,1.225187,2568.806
Red,R3 (697),246,2,0.8196721,2031.468,1.215528,2250.916
Red,R4 (717),230,2,0.877193,1924.755,1.08755,1296.228
Red,R5 (738),212,2,0.952381,1627.493,1.199543,960.2609
Red,R6 (760),166,2,1.219512,1415.169,1.220999,677.9925
Red,R7 (783),331,3,0.9146341,1577.037,1.220743,552.1671
Red,R8 (812),203,4,2.01005,776.886,1.218969,228.2751


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.475,1.153862,1.45
Violet,-20.175,1.056847,11.15
Blue,0,1.221397,1.475
Red,20.05,1.091421,64.96
UV,40.3,0.9550791,0
FSC Area Scaling Factor,1.268239,Window Extension,3
Flow Rate,12.37
Temperature,23
