DailyQCReport_U0321SP_20260122_061819


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,2071.723,3.117975,1496.981
Violet,SSC,24,4,20,2024.789,4.586049,11698.77
Blue,SSC-B,79,0,0,1993.995,2.812173,10619.46
UV,UV1 (373),1304,-8,-0.6097561,224.2615,4.222181,31.20396
UV,UV2 (388),316,2,0.6369427,1324.689,1.512625,379.4292
UV,UV3 (428),574,2,0.3496504,1004.609,1.647297,1517.623
UV,UV4 (443),1018,-4,-0.3913894,879.191,1.835071,2034.688
UV,UV5 (458),604,0,0,959.3515,1.728052,2830.027
UV,UV6 (473),427,-1,-0.2336449,1460.031,1.674147,4998.321
UV,UV7 (514),573,6,1.058201,2034.323,1.822256,7025.19
UV,UV8 (542),513,4,0.7858546,1541.372,1.72647,4661.568
UV,UV9 (582),587,4,0.6861064,2491.265,1.755509,4613.259
UV,UV10 (613),349,0,0,1966.434,1.667606,4554.524
UV,UV11 (664),509,0,0,869.2645,1.754383,2063.87
UV,UV12 (692),409,-3,-0.7281554,660.3515,1.83016,1267.551
UV,UV13 (720),775,5,0.6493506,696.229,1.998618,1185.35
UV,UV14 (750),1235,15,1.229508,803.3425,2.201312,1644.637
UV,UV15 (780),749,3,0.4021448,630.466,2.16766,800.7353
UV,UV16 (812),1069,-7,-0.6505576,425.7845,2.524162,627.212
Violet,V1 (428),201,25,14.20455,795.508,1.476563,1560.406
Violet,V2 (443),276,36,15,1882.795,1.067099,3398.057
Violet,V3 (458),240,31,14.83254,2165.699,1.180974,4582.381
Violet,V4 (473),201,28,16.18497,2190.018,1.34133,3796.855
Violet,V5 (508),189,24,14.54545,2056.063,1.156376,4017.949
Violet,V6 (525),191,21,12.35294,1527.162,1.069118,2791.555
Violet,V7 (542),268,37,16.01732,2047.514,1.15339,3010.765
Violet,V8 (581),445,50,12.65823,2385.847,1.419036,1755.509
Violet,V9 (598),280,31,12.4498,2291.648,1.208978,1252.881
Violet,V10 (615),366,44,13.6646,3311.429,1.169159,1147.742
Violet,V11 (664),314,39,14.18182,1342.429,1.206961,514.0317
Violet,V12 (692),250,27,12.10762,1025.531,1.369231,290.9129
Violet,V13 (720),199,22,12.42938,1098.974,1.349269,191.7584
Violet,V14 (750),345,39,12.7451,937.6485,1.200435,167.2261
Violet,V15 (780),418,47,12.66846,816.0255,1.603961,102.8804
Violet,V16 (812),390,44,12.71676,362.001,1.785956,39.48419
Blue,B1 (508),664,3,0.4538578,226.483,1.918432,450.4919
Blue,B2 (525),373,1,0.2688172,278.6985,1.668668,419.7415
Blue,B3 (542),383,6,1.591512,1055.717,1.606429,1157.303
Blue,B4 (581),326,-2,-0.6097561,1646.115,1.566212,1280.153
Blue,B5 (598),343,-3,-0.867052,1827.105,1.49081,1337.575
Blue,B6 (615),227,-1,-0.4385965,1906.35,1.671805,1093.302
Blue,B7 (661),357,-2,-0.557103,1133.391,1.605001,640.4121
Blue,B8 (679),362,-1,-0.2754821,926.6225,1.633168,583.7676
Blue,B9 (697),620,11,1.80624,1136.702,1.841968,497.9768
Blue,B10 (717),410,9,2.244389,767.2405,1.82063,219.8946
Blue,B11 (738),240,5,2.12766,503.374,1.895447,138.8435
Blue,B12 (760),335,12,3.71517,487.937,1.828171,109.3079
Blue,B13 (783),513,29,5.991735,383.437,2.096316,77.77904
Blue,B14 (812),517,16,3.193613,386.9425,1.997883,77.25472
YellowGreen,YG1 (577),328,-4,-1.204819,1760.104,1.108732,1265.636
YellowGreen,YG2 (598),345,-6,-1.709402,2437.265,1.031238,1851.059
YellowGreen,YG3 (615),236,-3,-1.25523,3260.957,1.206913,2276.098
YellowGreen,YG4 (661),410,-9,-2.147971,1850.911,1.177882,1467.839
YellowGreen,YG5 (679),334,-3,-0.8902078,1608.635,1.23674,1271.588
YellowGreen,YG6 (697),476,-7,-1.449275,1766.635,1.401928,814.0778
YellowGreen,YG7 (720),311,-3,-0.9554141,2397.356,1.396911,710.8057
YellowGreen,YG8 (750),267,0,0,1228.262,1.501813,363.3504
YellowGreen,YG9 (780),384,-4,-1.030928,1036.05,1.533465,231.2117
YellowGreen,YG10 (812),386,-2,-0.5154639,567.677,1.504244,100.8275
Red,R1 (661),209,-7,-3.240741,390.6175,1.310805,1303.579
Red,R2 (679),171,-1,-0.5813953,1075.451,1.27799,2611.515
Red,R3 (697),243,-1,-0.4098361,2025.84,1.268495,2042.144
Red,R4 (717),227,-1,-0.4385965,1921.217,1.16678,1272.661
Red,R5 (738),209,-1,-0.4761905,1611.441,1.270517,973.2208
Red,R6 (760),163,-1,-0.6097561,1404.06,1.276325,683.6924
Red,R7 (783),328,0,0,1579.079,1.300821,580.2166
Red,R8 (812),201,2,1.005025,776.91,1.324499,235.2942


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.425,1.157307,1.4
Violet,-20.125,1.05141,11.1
Blue,0,1.226316,1.425
Red,20.05,1.100105,65.08
UV,40.25,0.950335,0
FSC Area Scaling Factor,1.271999,Window Extension,3
Flow Rate,11.12
Temperature,23.38
