DailyQCReport_U0321SP_20260109_090442


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,2049.279,2.451526,1668.904
Violet,SSC,22,2,10,1956.865,4.489927,11683.16
Blue,SSC-B,80,1,1.265823,2006.749,2.801845,13037.59
UV,UV1 (373),1345,33,2.515244,227.354,4.979823,31.0736
UV,UV2 (388),317,3,0.9554141,1334.443,1.866627,389.3166
UV,UV3 (428),581,9,1.573427,1013.183,1.557081,1630.644
UV,UV4 (443),1023,1,0.09784736,891.046,1.764713,1998.41
UV,UV5 (458),611,7,1.15894,954.485,1.617364,2698.421
UV,UV6 (473),435,7,1.635514,1483.563,1.528955,5105.375
UV,UV7 (514),571,4,0.7054673,2025.139,1.669854,7210.773
UV,UV8 (542),510,1,0.1964637,1533.868,1.638329,4979.646
UV,UV9 (582),588,5,0.8576329,2478.86,1.780516,4491.794
UV,UV10 (613),356,7,2.005731,1961.815,1.570259,4624.073
UV,UV11 (664),510,1,0.1964637,863.923,1.651611,2334.545
UV,UV12 (692),419,7,1.699029,655.253,1.893224,1183.464
UV,UV13 (720),804,34,4.415585,702.077,2.328945,1174.403
UV,UV14 (750),1266,46,3.770492,804.962,2.637874,1689.105
UV,UV15 (780),779,33,4.423593,638.68,2.635974,826.1655
UV,UV16 (812),1098,22,2.04461,422.009,3.039503,627.8352
Violet,V1 (428),190,14,7.954545,794.532,1.455102,1535.114
Violet,V2 (443),265,25,10.41667,1877.77,1.026454,3548.007
Violet,V3 (458),228,19,9.090909,2150.809,1.142064,4285.93
Violet,V4 (473),190,17,9.82659,2183.743,1.333301,3576.489
Violet,V5 (508),179,14,8.484849,2053.377,1.110448,3806.115
Violet,V6 (525),184,14,8.235294,1526.482,1.031328,2833.531
Violet,V7 (542),254,23,9.95671,2051.459,1.144566,2919.798
Violet,V8 (581),425,30,7.594936,2380.862,1.479638,1681.629
Violet,V9 (598),272,23,9.236947,2307.158,1.211751,1175.302
Violet,V10 (615),352,30,9.31677,3304.248,1.158936,1142.483
Violet,V11 (664),297,22,8,1325.827,1.220893,519.9324
Violet,V12 (692),245,22,9.865471,1028.601,1.70022,307.0775
Violet,V13 (720),197,20,11.29943,1106.109,1.943702,193.3181
Violet,V14 (750),342,36,11.76471,940.292,1.910655,164.8568
Violet,V15 (780),414,43,11.5903,815.283,2.369968,100.0414
Violet,V16 (812),389,43,12.42775,363.004,2.641722,37.44396
Blue,B1 (508),652,-9,-1.361573,227.107,2.07669,442.3099
Blue,B2 (525),368,-4,-1.075269,279.272,1.890609,405.237
Blue,B3 (542),380,3,0.795756,1060.572,1.904088,1267.953
Blue,B4 (581),335,7,2.134146,1652.088,1.872389,1316.764
Blue,B5 (598),356,10,2.890173,1853.105,1.821393,1388.422
Blue,B6 (615),233,5,2.192982,1888.5,1.933879,1108.237
Blue,B7 (661),357,-2,-0.557103,1131.278,1.875534,636.1508
Blue,B8 (679),369,6,1.652892,924.3,1.937821,541.8198
Blue,B9 (697),633,24,3.940887,1139.744,2.324863,483.136
Blue,B10 (717),418,17,4.239402,779.653,2.436121,231.4572
Blue,B11 (738),244,9,3.829787,505.477,2.612546,146.3267
Blue,B12 (760),338,15,4.643963,491.658,2.638381,117.3053
Blue,B13 (783),517,33,6.818182,386.517,2.864445,77.53026
Blue,B14 (812),537,36,7.185629,386.791,2.793034,78.56195
YellowGreen,YG1 (577),328,-4,-1.204819,1753.512,1.190898,1346.331
YellowGreen,YG2 (598),356,5,1.424501,2429.635,1.006501,1736.196
YellowGreen,YG3 (615),247,8,3.34728,3309.747,1.149317,2321.812
YellowGreen,YG4 (661),417,-2,-0.477327,1857.117,1.119946,1662.399
YellowGreen,YG5 (679),341,4,1.186944,1590.143,1.278973,1263.117
YellowGreen,YG6 (697),499,16,3.312629,1786.455,1.612568,756.3502
YellowGreen,YG7 (720),325,11,3.503185,2396.851,1.718638,740.3589
YellowGreen,YG8 (750),279,12,4.494382,1229.316,1.920792,365.2132
YellowGreen,YG9 (780),402,14,3.608247,1039.601,2.019718,223.7361
YellowGreen,YG10 (812),409,21,5.412371,569.895,2.153435,102.8596
Red,R1 (661),202,-14,-6.481482,388.863,1.283371,1252.188
Red,R2 (679),171,-1,-0.5813953,1069.472,1.442772,2708.837
Red,R3 (697),251,7,2.868852,2031.852,1.697857,2132.009
Red,R4 (717),233,5,2.192982,1907.91,1.729788,1313.365
Red,R5 (738),216,6,2.857143,1620.162,1.911847,1045.218
Red,R6 (760),170,6,3.658536,1406.691,1.909551,716.831
Red,R7 (783),339,11,3.353659,1576.684,2.005479,574.5469
Red,R8 (812),209,10,5.025126,778.415,2.043746,224.0894


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.325,1.156502,1.5
Violet,-20.075,1.072566,11.2
Blue,0,1.220203,1.5
Red,20.025,1.093681,64.96
UV,40.35,0.9515622,0
FSC Area Scaling Factor,1.270612,Window Extension,3
Flow Rate,12.16
Temperature,23
