DailyQCReport_U0321SP_20260213_080739


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,2065.467,2.555265,2145.807
Violet,SSC,26,6,30,2033.001,4.501866,13657.25
Blue,SSC-B,79,0,0,1989.369,2.802673,10737.56
UV,UV1 (373),1372,60,4.573171,225.372,4.294175,31.16763
UV,UV2 (388),331,17,5.414013,1333.193,1.548117,391.7491
UV,UV3 (428),602,30,5.244755,1021.475,1.670933,1640.491
UV,UV4 (443),1071,49,4.79452,880.98,1.899514,2054.152
UV,UV5 (458),626,22,3.642384,949.952,1.756866,2705.072
UV,UV6 (473),452,24,5.607476,1472.067,1.721608,4687.931
UV,UV7 (514),596,29,5.114638,2053.751,1.840353,7004.118
UV,UV8 (542),534,25,4.911592,1545.947,1.742958,4619.75
UV,UV9 (582),602,19,3.259005,2435.304,1.807794,4431.354
UV,UV10 (613),362,13,3.724928,1953.263,1.729858,4614.383
UV,UV11 (664),525,16,3.143419,862.929,1.811651,2239.221
UV,UV12 (692),430,18,4.368932,655.351,1.889254,1286.485
UV,UV13 (720),825,55,7.142858,701.208,2.107617,1164.008
UV,UV14 (750),1295,75,6.147541,788.677,2.35741,1612.112
UV,UV15 (780),797,51,6.836461,627.444,2.283441,778.6456
UV,UV16 (812),1140,64,5.947955,421.895,2.625732,597.7518
Violet,V1 (428),213,37,21.02273,795.496,1.409157,1541.245
Violet,V2 (443),290,50,20.83333,1858.488,1.021262,3522.94
Violet,V3 (458),250,41,19.61723,2158.751,1.123765,4417.426
Violet,V4 (473),211,38,21.96532,2172.31,1.292567,3647.091
Violet,V5 (508),199,34,20.60606,2038.799,1.095811,4117.495
Violet,V6 (525),202,32,18.82353,1517.311,1.02206,2772.692
Violet,V7 (542),282,51,22.07792,2055.42,1.089737,3099.638
Violet,V8 (581),467,72,18.22785,2374.955,1.333529,1736.534
Violet,V9 (598),297,48,19.27711,2294.064,1.1255,1228.87
Violet,V10 (615),382,60,18.63354,3299.819,1.087303,1216.108
Violet,V11 (664),326,51,18.54545,1331.81,1.126537,520.7996
Violet,V12 (692),268,45,20.17937,1017.377,1.34321,289.4688
Violet,V13 (720),212,35,19.77401,1100.104,1.408659,190.9197
Violet,V14 (750),368,62,20.26144,932.893,1.370184,160.7703
Violet,V15 (780),449,78,21.02426,816.245,1.720485,96.41946
Violet,V16 (812),420,74,21.38728,359.807,1.952425,39.60739
Blue,B1 (508),664,3,0.4538578,225.917,1.913656,414.4273
Blue,B2 (525),371,-1,-0.2688172,275.296,1.676718,386.1861
Blue,B3 (542),382,5,1.32626,1056.659,1.604562,1234.32
Blue,B4 (581),330,2,0.6097561,1661.122,1.571065,1343.523
Blue,B5 (598),345,-1,-0.2890173,1844.138,1.502707,1366.736
Blue,B6 (615),227,-1,-0.4385965,1902.538,1.646687,1009.75
Blue,B7 (661),356,-3,-0.8356546,1145.681,1.595802,642.2394
Blue,B8 (679),361,-2,-0.5509642,916.617,1.621279,539.9294
Blue,B9 (697),620,11,1.80624,1131.132,1.818455,487.1771
Blue,B10 (717),417,16,3.990025,775.174,1.798109,212.1553
Blue,B11 (738),243,8,3.404255,504.511,1.902025,139.5351
Blue,B12 (760),342,19,5.882353,491.456,1.890675,116.3427
Blue,B13 (783),523,39,8.057852,385.798,2.142358,79.89202
Blue,B14 (812),531,30,5.988024,383.865,2.091779,74.89516
YellowGreen,YG1 (577),326,-6,-1.807229,1740.654,1.100619,1266.322
YellowGreen,YG2 (598),348,-3,-0.8547009,2427.436,1.06979,1747.513
YellowGreen,YG3 (615),241,2,0.8368201,3281.462,1.202924,2207.917
YellowGreen,YG4 (661),410,-9,-2.147971,1855.159,1.131801,1633.291
YellowGreen,YG5 (679),336,-1,-0.2967359,1595.507,1.198128,1289.932
YellowGreen,YG6 (697),488,5,1.035197,1784.016,1.393638,747.2469
YellowGreen,YG7 (720),318,4,1.273885,2395.173,1.446483,754.2629
YellowGreen,YG8 (750),274,7,2.621723,1226.488,1.618393,357.5083
YellowGreen,YG9 (780),395,7,1.804124,1034.852,1.659678,218.2675
YellowGreen,YG10 (812),400,12,3.092783,567.876,1.686496,101.0021
Red,R1 (661),200,-16,-7.407407,387.515,1.480012,1329.308
Red,R2 (679),170,-2,-1.162791,1080.355,1.313814,2481.751
Red,R3 (697),248,4,1.639344,2025.347,1.34062,2135.258
Red,R4 (717),232,4,1.754386,1915.318,1.315792,1218.522
Red,R5 (738),214,4,1.904762,1616.797,1.469124,934.9093
Red,R6 (760),168,4,2.439024,1402.035,1.492832,671.2512
Red,R7 (783),337,9,2.743902,1581.015,1.540741,586.8287
Red,R8 (812),208,9,4.522613,781.766,1.549899,230.8722


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.425,1.160362,1.425
Violet,-20.125,1.038234,11.3
Blue,0,1.230858,1.475
Red,20.1,1.103031,64.96
UV,40.275,0.9552409,0
FSC Area Scaling Factor,1.279999,Window Extension,3
Flow Rate,10.51
Temperature,23.5
