DailyQCReport_U0321SP_20260127_093914


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,165,-9,-5.172414,1904.961,1.99766,2217.389
Violet,SSC,24,4,20,2020.969,4.489984,13699.62
Blue,SSC-B,78,-1,-1.265823,1985.01,2.814105,11584.3
UV,UV1 (373),1347,35,2.667683,226.5025,4.19371,31.73149
UV,UV2 (388),322,8,2.547771,1335.56,1.585954,385.7643
UV,UV3 (428),583,11,1.923077,1009.276,1.671015,1610.872
UV,UV4 (443),1026,4,0.3913894,889.1365,1.923074,2103.596
UV,UV5 (458),611,7,1.15894,952.104,1.757748,2812.115
UV,UV6 (473),428,0,0,1462.765,1.720444,5024.007
UV,UV7 (514),563,-4,-0.7054673,2038.7,1.902665,6993.604
UV,UV8 (542),490,-19,-3.73281,1545.182,2.059013,4602.497
UV,UV9 (582),554,-29,-4.974271,2490.236,2.307252,4535.425
UV,UV10 (613),352,3,0.8595988,1945.281,1.738236,4746.591
UV,UV11 (664),531,22,4.3222,853.841,2.1461,2201.487
UV,UV12 (692),515,103,25,661.87,3.288209,1258.351
UV,UV13 (720),1106,336,43.63636,697.313,4.398122,1193.275
UV,UV14 (750),1835,615,50.40984,795.0365,4.886862,1584.209
UV,UV15 (780),1165,419,56.16622,622.931,5.21396,771.3741
UV,UV16 (812),1675,599,55.66915,416.1515,5.56387,581.7053
Violet,V1 (428),202,26,14.77273,803.1625,1.3413,1472.925
Violet,V2 (443),275,35,14.58333,1869.568,0.9964324,3419.552
Violet,V3 (458),237,28,13.39713,2155.017,1.104807,4600.876
Violet,V4 (473),197,24,13.87283,2181.05,1.287668,3650.26
Violet,V5 (508),186,21,12.72727,2066.324,1.169201,3899.962
Violet,V6 (525),188,18,10.58824,1530.785,1.135539,2912.927
Violet,V7 (542),256,25,10.82251,2045.912,1.377095,2877.494
Violet,V8 (581),416,21,5.316456,2378.676,1.851799,1662.75
Violet,V9 (598),275,26,10.44177,2318.194,1.344332,1242.091
Violet,V10 (615),363,41,12.73292,3257.152,1.089145,1115.893
Violet,V11 (664),326,51,18.54545,1325.516,1.638991,522.3839
Violet,V12 (692),318,95,42.6009,1023.243,3.092929,312.2773
Violet,V13 (720),284,107,60.45198,1085.539,3.861698,177.408
Violet,V14 (750),518,212,69.28104,927.1885,4.261851,165.8981
Violet,V15 (780),653,282,76.01078,827.985,4.755609,103.9388
Violet,V16 (812),620,274,79.19075,361.1975,4.993399,37.47273
Blue,B1 (508),634,-27,-4.08472,227.083,2.083081,451.6101
Blue,B2 (525),352,-20,-5.376344,275.8585,1.981789,395.476
Blue,B3 (542),353,-24,-6.366048,1069.627,2.117903,1312.526
Blue,B4 (581),305,-23,-7.012195,1660.304,2.169891,1415.643
Blue,B5 (598),330,-16,-4.624277,1837.933,1.838969,1329.309
Blue,B6 (615),225,-3,-1.315789,1919.596,1.793295,1127.226
Blue,B7 (661),354,-5,-1.392758,1132.553,1.737928,659.0134
Blue,B8 (679),393,30,8.264462,928.267,2.476078,559.2766
Blue,B9 (697),751,142,23.31691,1147.526,3.230783,476.5776
Blue,B10 (717),532,131,32.66833,764.203,3.628623,223.9111
Blue,B11 (738),324,89,37.87234,505.5635,3.987589,136.8049
Blue,B12 (760),469,146,45.20124,491.9875,4.340939,111.7109
Blue,B13 (783),736,252,52.06612,388.0685,4.684961,77.19608
Blue,B14 (812),767,266,53.09381,388.783,4.583163,76.46976
YellowGreen,YG1 (577),305,-27,-8.13253,1738.926,1.669367,1226.699
YellowGreen,YG2 (598),362,11,3.133903,2454.556,1.198644,1724.717
YellowGreen,YG3 (615),256,17,7.112971,3266.819,1.636461,2164.469
YellowGreen,YG4 (661),455,36,8.591886,1840.161,2.320974,1601.387
YellowGreen,YG5 (679),407,70,20.77151,1582.941,3.36733,1190.764
YellowGreen,YG6 (697),663,180,37.26708,1753.013,4.266418,680.2632
YellowGreen,YG7 (720),476,162,51.59236,2375.025,4.777439,718.7943
YellowGreen,YG8 (750),427,160,59.92509,1239.162,5.2946,360.4476
YellowGreen,YG9 (780),640,252,64.94845,1032.375,5.618192,216.4373
YellowGreen,YG10 (812),658,270,69.58763,564.6115,5.673102,100.0117
Red,R1 (661),234,18,8.333334,386.1505,5.567591,1206.027
Red,R2 (679),214,42,24.4186,1094.238,6.003448,2694.656
Red,R3 (697),365,121,49.59016,2022.04,5.808282,2127.135
Red,R4 (717),367,139,60.96491,1888.916,5.824821,1306.274
Red,R5 (738),344,134,63.80952,1591.442,6.174587,988.0237
Red,R6 (760),271,107,65.2439,1397.632,6.074532,675.2316
Red,R7 (783),551,223,67.98781,1570.488,6.088889,530.8303
Red,R8 (812),345,146,73.36684,764.5645,6.146627,217.5955


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.4,1.154225,1.425
Violet,-20.1,1.060226,11.1
Blue,0,1.221523,1.45
Red,20.05,1.093498,64.96
UV,40.3,0.9486672,0
FSC Area Scaling Factor,1.272365,Window Extension,3
Flow Rate,10.89
Temperature,23
