DailyQCReport_U0321SP_20260123_072341


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,2070.443,2.537678,2215.339
Violet,SSC,24,4,20,2039.508,4.476927,11455.76
Blue,SSC-B,79,0,0,1990.058,2.8198,12522.63
UV,UV1 (373),1304,-8,-0.6097561,218.802,3.670501,30.17018
UV,UV2 (388),316,2,0.6369427,1297.169,1.55147,382.5432
UV,UV3 (428),574,2,0.3496504,983.224,1.91243,1545.809
UV,UV4 (443),1018,-4,-0.3913894,861.035,2.225291,1969.923
UV,UV5 (458),604,0,0,937.9,2.122164,3018.508
UV,UV6 (473),427,-1,-0.2336449,1430.587,2.082615,4816.618
UV,UV7 (514),573,6,1.058201,1995.824,2.247613,7105.857
UV,UV8 (542),513,4,0.7858546,1516.097,2.152173,4515.915
UV,UV9 (582),587,4,0.6861064,2452.564,2.239133,5225.739
UV,UV10 (613),349,0,0,1938.165,2.098171,4559.02
UV,UV11 (664),509,0,0,855.101,2.140695,2171.636
UV,UV12 (692),409,-3,-0.7281554,646.296,2.244941,1263.646
UV,UV13 (720),775,5,0.6493506,681.146,2.438329,1204.198
UV,UV14 (750),1235,15,1.229508,786.775,2.676992,1542.853
UV,UV15 (780),749,3,0.4021448,616.024,2.653204,763.3463
UV,UV16 (812),1069,-7,-0.6505576,414.103,2.94153,618.8133
Violet,V1 (428),201,25,14.20455,798.065,1.411238,1602.578
Violet,V2 (443),276,36,15,1890.641,1.02962,3619.181
Violet,V3 (458),240,31,14.83254,2176.279,1.138164,4300.352
Violet,V4 (473),201,28,16.18497,2196.974,1.31453,3992.334
Violet,V5 (508),189,24,14.54545,2062.886,1.138705,3999.593
Violet,V6 (525),191,21,12.35294,1535.172,1.068979,3045.257
Violet,V7 (542),268,37,16.01732,2061.029,1.162938,3086.676
Violet,V8 (581),445,50,12.65823,2404.675,1.430521,1697.821
Violet,V9 (598),280,31,12.4498,2309.92,1.222616,1212.405
Violet,V10 (615),366,44,13.6646,3343.019,1.154131,1226.166
Violet,V11 (664),314,39,14.18182,1354.91,1.213899,541.2574
Violet,V12 (692),250,27,12.10762,1028.38,1.497294,288.7474
Violet,V13 (720),199,22,12.42938,1100.36,1.594328,191.8596
Violet,V14 (750),345,39,12.7451,937.508,1.475093,151.4247
Violet,V15 (780),418,47,12.66846,814.894,1.907497,101.681
Violet,V16 (812),390,44,12.71676,360.363,2.126261,39.20795
Blue,B1 (508),664,3,0.4538578,223.805,1.881618,446.6776
Blue,B2 (525),373,1,0.2688172,277.441,1.666472,392.1138
Blue,B3 (542),383,6,1.591512,1061.65,1.641534,1220.77
Blue,B4 (581),326,-2,-0.6097561,1660.591,1.607277,1340.153
Blue,B5 (598),343,-3,-0.867052,1846.177,1.542907,1387.402
Blue,B6 (615),227,-1,-0.4385965,1924.464,1.708784,1101.611
Blue,B7 (661),357,-2,-0.557103,1142.022,1.623168,682.7057
Blue,B8 (679),362,-1,-0.2754821,931.57,1.643565,623.0342
Blue,B9 (697),620,11,1.80624,1135.683,1.958378,501.8036
Blue,B10 (717),410,9,2.244389,767.02,1.998551,212.9577
Blue,B11 (738),240,5,2.12766,503.958,2.119684,146.8714
Blue,B12 (760),335,12,3.71517,487.261,2.099422,113.4304
Blue,B13 (783),513,29,5.991735,383.536,2.339528,79.31032
Blue,B14 (812),517,16,3.193613,386.833,2.261921,79.80295
YellowGreen,YG1 (577),328,-4,-1.204819,1769.553,1.171588,1309.387
YellowGreen,YG2 (598),345,-6,-1.709402,2470.071,1.112283,1737.909
YellowGreen,YG3 (615),236,-3,-1.25523,3303.212,1.214917,2355.728
YellowGreen,YG4 (661),410,-9,-2.147971,1864.093,1.161192,1497.494
YellowGreen,YG5 (679),334,-3,-0.8902078,1617.165,1.305699,1360.203
YellowGreen,YG6 (697),476,-7,-1.449275,1768.323,1.582478,795.4302
YellowGreen,YG7 (720),311,-3,-0.9554141,2400.56,1.613198,747.3865
YellowGreen,YG8 (750),267,0,0,1227.576,1.793784,377.6605
YellowGreen,YG9 (780),384,-4,-1.030928,1034.052,1.838409,239.5712
YellowGreen,YG10 (812),386,-2,-0.5154639,565.532,1.83365,97.56311
Red,R1 (661),209,-7,-3.240741,393.064,1.397425,1299.032
Red,R2 (679),171,-1,-0.5813953,1073.753,1.335166,2775.923
Red,R3 (697),243,-1,-0.4098361,2009.145,1.429486,2364.048
Red,R4 (717),227,-1,-0.4385965,1905.71,1.346913,1329.793
Red,R5 (738),209,-1,-0.4761905,1598.083,1.509206,926.492
Red,R6 (760),163,-1,-0.6097561,1388.766,1.553142,690.168
Red,R7 (783),328,0,0,1562.693,1.579434,550.5229
Red,R8 (812),201,2,1.005025,766.406,1.585663,226.1024


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.525,1.15518,1.4
Violet,-20.175,1.059741,11.1
Blue,0,1.223981,1.45
Red,20.1,1.093407,65.16
UV,40.35,0.9518611,0
FSC Area Scaling Factor,1.274447,Window Extension,3
Flow Rate,10.41
Temperature,23.12
