DailyQCReport_U0321SP_20260118_114254


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,2071.92,2.474797,2133.431
Violet,SSC,23,3,15,2004.709,4.525525,12353.21
Blue,SSC-B,78,-1,-1.265823,1989.222,2.78975,11488.05
UV,UV1 (373),1231,-81,-6.17378,224.1035,4.45231,32.0966
UV,UV2 (388),299,-15,-4.77707,1332.372,1.627556,375.1535
UV,UV3 (428),545,-27,-4.72028,1016.451,1.566496,1585.893
UV,UV4 (443),960,-62,-6.066536,871.143,1.719684,2103.139
UV,UV5 (458),573,-31,-5.13245,954.181,1.596951,3017.53
UV,UV6 (473),406,-22,-5.140187,1467.167,1.515423,5168.766
UV,UV7 (514),541,-26,-4.585538,2023.438,1.651277,7480.231
UV,UV8 (542),486,-23,-4.518664,1533.446,1.538073,4853.806
UV,UV9 (582),558,-25,-4.288165,2459.084,1.586001,4527.677
UV,UV10 (613),331,-18,-5.157593,1949.46,1.532833,4544.393
UV,UV11 (664),485,-24,-4.715128,872.057,1.616686,2259.287
UV,UV12 (692),388,-24,-5.825243,658.2115,1.68706,1280.452
UV,UV13 (720),738,-32,-4.155844,694.88,1.829713,1220.072
UV,UV14 (750),1173,-47,-3.852459,803.21,2.03333,1695.99
UV,UV15 (780),712,-34,-4.557641,631.667,1.992997,842.5068
UV,UV16 (812),1014,-62,-5.762082,424.064,2.315768,627.4413
Violet,V1 (428),197,21,11.93182,798.8905,1.467456,1497.469
Violet,V2 (443),271,31,12.91667,1865.928,1.053993,3422.79
Violet,V3 (458),236,27,12.91866,2170.498,1.168174,4316.227
Violet,V4 (473),196,23,13.2948,2177.545,1.341824,3597.015
Violet,V5 (508),184,19,11.51515,2045.547,1.145816,3840.082
Violet,V6 (525),189,19,11.17647,1532.9,1.051712,2712.218
Violet,V7 (542),263,32,13.85281,2047.809,1.134327,3022.085
Violet,V8 (581),442,47,11.89873,2396.667,1.397947,1659.346
Violet,V9 (598),278,29,11.64659,2310.806,1.201008,1212.892
Violet,V10 (615),357,35,10.86957,3290.699,1.171189,1196.497
Violet,V11 (664),309,34,12.36364,1333.798,1.214559,538.9716
Violet,V12 (692),245,22,9.865471,1026.303,1.437799,285.1292
Violet,V13 (720),196,19,10.73446,1106.434,1.407826,191.0385
Violet,V14 (750),338,32,10.45752,934.4735,1.273447,165.1209
Violet,V15 (780),409,38,10.24259,815.4685,1.647655,105.357
Violet,V16 (812),383,37,10.69364,363.0225,1.855732,38.11255
Blue,B1 (508),667,6,0.9077156,226.629,1.876828,432.8468
Blue,B2 (525),374,2,0.5376344,278.3745,1.660388,411.3437
Blue,B3 (542),382,5,1.32626,1051.777,1.588006,1160.758
Blue,B4 (581),331,3,0.9146341,1656.204,1.540114,1276.678
Blue,B5 (598),346,0,0,1846.882,1.474084,1328.641
Blue,B6 (615),227,-1,-0.4385965,1903.825,1.662061,1073.682
Blue,B7 (661),360,1,0.2785515,1151.731,1.592373,642.3122
Blue,B8 (679),363,0,0,931.039,1.625285,570.2546
Blue,B9 (697),612,3,0.4926108,1147.474,1.817292,492.0196
Blue,B10 (717),413,12,2.992519,776.9585,1.785284,232.4963
Blue,B11 (738),240,5,2.12766,506.7335,1.86122,144.9148
Blue,B12 (760),333,10,3.095975,491.166,1.773524,109.011
Blue,B13 (783),513,29,5.991735,386.664,2.050533,80.63955
Blue,B14 (812),517,16,3.193613,387.891,1.923128,76.3708
YellowGreen,YG1 (577),327,-5,-1.506024,1733.229,1.111474,1306.427
YellowGreen,YG2 (598),347,-4,-1.139601,2455.115,1.057621,1705.368
YellowGreen,YG3 (615),237,-2,-0.8368201,3277.67,1.203661,2296.681
YellowGreen,YG4 (661),416,-3,-0.7159905,1869.327,1.184634,1541.893
YellowGreen,YG5 (679),335,-2,-0.5934718,1609.519,1.256686,1341.292
YellowGreen,YG6 (697),479,-4,-0.8281574,1800.829,1.401579,778.2067
YellowGreen,YG7 (720),310,-4,-1.273885,2392.493,1.364723,762.8615
YellowGreen,YG8 (750),267,0,0,1230.901,1.455155,364.7455
YellowGreen,YG9 (780),385,-3,-0.7731959,1038.864,1.456132,237.6025
YellowGreen,YG10 (812),386,-2,-0.5154639,570.3885,1.376245,101.52
Red,R1 (661),213,-3,-1.388889,388.6895,1.280794,1246.091
Red,R2 (679),172,0,0,1079.279,1.298918,2704.276
Red,R3 (697),244,0,0,2030.194,1.282967,2174.639
Red,R4 (717),228,0,0,1921.496,1.163745,1269.99
Red,R5 (738),209,-1,-0.4761905,1611.434,1.275156,965.7567
Red,R6 (760),164,0,0,1412.826,1.273383,695.1594
Red,R7 (783),328,0,0,1581.132,1.297537,576.4707
Red,R8 (812),201,2,1.005025,781.196,1.221993,239.8997


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.325,1.157826,1.4
Violet,-20.075,1.061317,11.2
Blue,0,1.227738,1.425
Red,20,1.097887,65.12
UV,40.225,0.948046,0
FSC Area Scaling Factor,1.27875,Window Extension,3
Flow Rate,10.97
Temperature,23.38
