DailyQCReport_U0321SP_20260119_081404


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,2038.678,2.684187,1966.655
Violet,SSC,22,2,10,1939.841,4.391194,11897.17
Blue,SSC-B,80,1,1.265823,2003.424,2.83628,11865.87
UV,UV1 (373),1333,21,1.60061,224.104,4.267096,31.01119
UV,UV2 (388),325,11,3.503185,1331.34,1.54437,380.0078
UV,UV3 (428),592,20,3.496503,1021.488,1.630865,1673.999
UV,UV4 (443),1067,45,4.403131,893.4955,1.851751,2098.756
UV,UV5 (458),624,20,3.311258,966.2185,1.711906,2927.993
UV,UV6 (473),444,16,3.738318,1472.154,1.655467,5316.738
UV,UV7 (514),590,23,4.056437,2039.986,1.788604,6905.119
UV,UV8 (542),530,21,4.125737,1533.07,1.674098,4830.932
UV,UV9 (582),608,25,4.288165,2492.681,1.758538,4540.058
UV,UV10 (613),361,12,3.438395,1953.957,1.690733,4748.879
UV,UV11 (664),520,11,2.1611,859.853,1.760868,2153.094
UV,UV12 (692),420,8,1.941748,664.755,1.806223,1326.909
UV,UV13 (720),793,23,2.987013,694.26,1.928629,1213.918
UV,UV14 (750),1252,32,2.622951,798.628,2.167369,1653.309
UV,UV15 (780),765,19,2.546917,633.7105,2.133709,835.2206
UV,UV16 (812),1086,10,0.929368,421.7615,2.393246,579.8235
Violet,V1 (428),194,18,10.22727,801.382,1.274025,1491.987
Violet,V2 (443),267,27,11.25,1873.589,0.9003995,3487.042
Violet,V3 (458),232,23,11.00478,2157.321,1.010673,4303.844
Violet,V4 (473),194,21,12.13873,2182.215,1.161411,3494.272
Violet,V5 (508),182,17,10.30303,2051.298,0.9703987,3731.752
Violet,V6 (525),185,15,8.823529,1512.99,0.8951041,2639.672
Violet,V7 (542),259,28,12.12121,2034.093,0.997542,3102.623
Violet,V8 (581),434,39,9.873418,2397.945,1.283247,1626.927
Violet,V9 (598),272,23,9.236947,2289.044,1.083884,1154.313
Violet,V10 (615),352,30,9.31677,3298.913,1.047035,1166.372
Violet,V11 (664),302,27,9.818182,1324.986,1.118795,502.9346
Violet,V12 (692),240,17,7.623319,1009.208,1.36305,271.0505
Violet,V13 (720),192,15,8.474577,1100.487,1.349632,184.037
Violet,V14 (750),332,26,8.496733,934.566,1.161368,171.7903
Violet,V15 (780),403,32,8.625337,816.96,1.60778,100.4951
Violet,V16 (812),375,29,8.381503,359.2975,1.776859,38.12243
Blue,B1 (508),678,17,2.571861,227.3085,1.909766,435.76
Blue,B2 (525),379,7,1.881721,277.4495,1.739084,400.6125
Blue,B3 (542),392,15,3.97878,1058.229,1.664673,1284.202
Blue,B4 (581),337,9,2.743902,1663.603,1.628028,1355.381
Blue,B5 (598),351,5,1.445087,1832.972,1.577838,1289.415
Blue,B6 (615),231,3,1.315789,1905.709,1.759577,1078.049
Blue,B7 (661),360,1,0.2785515,1139.088,1.704146,678.8277
Blue,B8 (679),365,2,0.5509642,919.2835,1.760388,535.2361
Blue,B9 (697),610,1,0.1642036,1119.035,1.925997,489.4082
Blue,B10 (717),414,13,3.241895,772.1855,1.881185,219.1226
Blue,B11 (738),242,7,2.978724,507.1575,1.993434,146.8172
Blue,B12 (760),336,13,4.024768,490.8155,1.916143,116.0907
Blue,B13 (783),519,35,7.231405,388.358,2.155254,79.10762
Blue,B14 (812),523,22,4.391218,386.907,2.025176,76.59413
YellowGreen,YG1 (577),335,3,0.9036144,1771.693,1.072046,1295.1
YellowGreen,YG2 (598),352,1,0.2849003,2440.594,1.06535,1827.959
YellowGreen,YG3 (615),241,2,0.8368201,3249.064,1.169545,2209.761
YellowGreen,YG4 (661),419,0,0,1845.115,1.082925,1560.095
YellowGreen,YG5 (679),338,1,0.2967359,1606.141,1.147712,1214.724
YellowGreen,YG6 (697),480,-3,-0.621118,1771.5,1.292025,830.2473
YellowGreen,YG7 (720),316,2,0.6369427,2395.676,1.236779,710.8464
YellowGreen,YG8 (750),271,4,1.498127,1229.203,1.325098,372.0715
YellowGreen,YG9 (780),392,4,1.030928,1042.902,1.340313,230.8815
YellowGreen,YG10 (812),392,4,1.030928,569.472,1.318736,105.5529
Red,R1 (661),213,-3,-1.388889,390.0455,1.27776,1333.407
Red,R2 (679),173,1,0.5813953,1083.752,1.202695,2637.255
Red,R3 (697),245,1,0.4098361,2039.199,1.214983,2375.027
Red,R4 (717),230,2,0.877193,1928.219,1.090193,1304.512
Red,R5 (738),211,1,0.4761905,1616.427,1.234469,1019.687
Red,R6 (760),165,1,0.6097561,1411.007,1.234649,733.6299
Red,R7 (783),330,2,0.6097561,1574.597,1.254018,570.6267
Red,R8 (812),202,3,1.507538,779.709,1.268358,228.5712


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.3,1.150353,1.35
Violet,-20.05,1.076555,11.1
Blue,0,1.212427,1.425
Red,19.95,1.084106,64.84
UV,40.22499,0.9523014,0
FSC Area Scaling Factor,1.263763,Window Extension,3
Flow Rate,10.27
Temperature,22.38
