DailyQCReport_U0321SP_20260205_082918


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,2055.738,2.620543,2324.875
Violet,SSC,24,4,20,1971.738,4.685287,12481.05
Blue,SSC-B,80,1,1.265823,1983.019,2.83756,11010.07
UV,UV1 (373),1412,100,7.621952,231.16,4.58117,31.18711
UV,UV2 (388),336,22,7.00637,1344.813,1.63113,388.382
UV,UV3 (428),608,36,6.293706,1015.094,1.648722,1550.677
UV,UV4 (443),1090,68,6.65362,892.923,1.880915,2013.303
UV,UV5 (458),639,35,5.794702,957.751,1.753071,2783.446
UV,UV6 (473),454,26,6.074767,1479.188,1.677289,5318.099
UV,UV7 (514),602,35,6.17284,2043.265,1.858452,7521.887
UV,UV8 (542),541,32,6.286837,1537.957,1.759693,4587.962
UV,UV9 (582),618,35,6.00343,2511.568,1.855703,4351.536
UV,UV10 (613),370,21,6.017192,1981.719,1.749433,4683.755
UV,UV11 (664),534,25,4.911592,875.224,1.789932,2096.436
UV,UV12 (692),432,20,4.854369,653.159,2.053299,1208.328
UV,UV13 (720),814,44,5.714286,683.253,2.597671,1129.423
UV,UV14 (750),1295,75,6.147541,783.684,2.878919,1608.131
UV,UV15 (780),791,45,6.032171,619.142,2.963286,828.4659
UV,UV16 (812),1125,49,4.553903,414.158,3.254629,596.2656
Violet,V1 (428),206,30,17.04545,795.65,1.427349,1482.842
Violet,V2 (443),280,40,16.66667,1855.722,1.022962,3458.27
Violet,V3 (458),244,35,16.74641,2155.629,1.133093,4607.013
Violet,V4 (473),205,32,18.49711,2174.977,1.312487,3799.031
Violet,V5 (508),192,27,16.36364,2039.734,1.110621,3807.068
Violet,V6 (525),194,24,14.11765,1505.479,1.033168,2837.947
Violet,V7 (542),273,42,18.18182,2047.522,1.164869,3017.701
Violet,V8 (581),457,62,15.6962,2409.052,1.480846,1650.898
Violet,V9 (598),287,38,15.26104,2297.186,1.263228,1210.36
Violet,V10 (615),371,49,15.21739,3298.145,1.208429,1192.565
Violet,V11 (664),318,43,15.63636,1336.424,1.213279,527.579
Violet,V12 (692),256,33,14.79821,1007.469,1.464654,271.9374
Violet,V13 (720),202,25,14.12429,1073.97,1.83016,178.7094
Violet,V14 (750),349,43,14.05229,906.455,2.014724,152.4559
Violet,V15 (780),426,55,14.8248,791.259,2.276329,106.7948
Violet,V16 (812),397,51,14.73988,347.969,2.623745,36.94296
Blue,B1 (508),672,11,1.664145,225.935,1.907642,423.6205
Blue,B2 (525),375,3,0.8064516,274.997,1.696193,393.2426
Blue,B3 (542),383,6,1.591512,1055.999,1.655933,1218.353
Blue,B4 (581),332,4,1.219512,1670.905,1.651933,1388.65
Blue,B5 (598),346,0,0,1850.873,1.59625,1350.75
Blue,B6 (615),228,0,0,1905.46,1.759702,1049.246
Blue,B7 (661),360,1,0.2785515,1143.618,1.651346,646.8352
Blue,B8 (679),363,0,0,921.155,1.72456,568.998
Blue,B9 (697),616,7,1.149425,1113.364,2.103865,477.4539
Blue,B10 (717),417,16,3.990025,758.681,2.242463,208.5549
Blue,B11 (738),239,4,1.702128,487.784,2.444822,132.8648
Blue,B12 (760),337,14,4.334365,475.313,2.512995,106.7552
Blue,B13 (783),513,29,5.991735,370.651,2.814704,74.50495
Blue,B14 (812),523,22,4.391218,376.989,2.783006,82.0264
YellowGreen,YG1 (577),329,-3,-0.9036144,1756.505,1.187823,1225.154
YellowGreen,YG2 (598),349,-2,-0.5698006,2438.236,1.069013,1743.13
YellowGreen,YG3 (615),240,1,0.41841,3288.197,1.208459,2332.729
YellowGreen,YG4 (661),417,-2,-0.477327,1862.033,1.176374,1648.8
YellowGreen,YG5 (679),334,-3,-0.8902078,1586.95,1.289505,1262.194
YellowGreen,YG6 (697),483,0,0,1748.257,1.696524,797.2953
YellowGreen,YG7 (720),316,2,0.6369427,2344.306,1.946405,699.504
YellowGreen,YG8 (750),270,3,1.123595,1192.137,2.158144,356.2998
YellowGreen,YG9 (780),390,2,0.5154639,1004.996,2.32908,224.2513
YellowGreen,YG10 (812),396,8,2.061856,551.928,2.421643,102.2675
Red,R1 (661),205,-11,-5.092593,382.94,1.23541,1232.659
Red,R2 (679),170,-2,-1.162791,1063.796,1.280834,2717.692
Red,R3 (697),246,2,0.8196721,1987.41,1.62561,2070.462
Red,R4 (717),230,2,0.877193,1864.861,1.885117,1250.204
Red,R5 (738),212,2,0.952381,1568.477,2.091221,954.6085
Red,R6 (760),166,2,1.219512,1365.323,2.061307,660.1776
Red,R7 (783),331,3,0.9146341,1518.017,2.193198,545.1885
Red,R8 (812),203,4,2.01005,741.105,2.308191,214.9555


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.4,1.153627,1.475
Violet,-20.1,1.056049,11.2
Blue,0,1.219882,1.5
Red,20.025,1.091682,64.92
UV,40.3,0.9579741,0
FSC Area Scaling Factor,1.271428,Window Extension,3
Flow Rate,12.9
Temperature,22.88
