DailyQCReport_U0321SP_20260222_084409


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,167,-7,-4.022989,1909.853,2.162125,1606.429
Violet,SSC,25,5,25,1990.394,4.424579,12753.28
Blue,SSC-B,82,3,3.797468,1998.946,2.823715,11188.2
UV,UV1 (373),1372,60,4.573171,224.4745,4.18229,30.74312
UV,UV2 (388),334,20,6.369427,1325.625,1.567698,381.665
UV,UV3 (428),610,38,6.643356,1023.724,1.754822,1587.138
UV,UV4 (443),1084,62,6.066536,888.094,2.034546,2052.718
UV,UV5 (458),640,36,5.960265,951.249,1.918185,2666.465
UV,UV6 (473),454,26,6.074767,1470.752,1.904747,5003.983
UV,UV7 (514),597,30,5.291005,2029.208,2.054196,7150.334
UV,UV8 (542),540,31,6.090373,1525.828,1.952504,4898.38
UV,UV9 (582),617,34,5.831904,2496.508,2.005601,4672.256
UV,UV10 (613),365,16,4.584527,1942.906,1.914115,4553.629
UV,UV11 (664),527,18,3.536346,858.937,1.942167,2083.607
UV,UV12 (692),432,20,4.854369,651.108,2.039937,1197.745
UV,UV13 (720),823,53,6.883117,686.1355,2.292521,1155.609
UV,UV14 (750),1320,100,8.196721,801.6205,2.557694,1665.458
UV,UV15 (780),812,66,8.847185,631.106,2.485738,820.8126
UV,UV16 (812),1164,88,8.178439,421.5175,2.833373,575.9294
Violet,V1 (428),213,37,21.02273,797.6915,1.285864,1542.49
Violet,V2 (443),289,49,20.41667,1871.078,0.9153156,3611.13
Violet,V3 (458),250,41,19.61723,2167.949,0.9994797,4502.618
Violet,V4 (473),211,38,21.96532,2180.667,1.167456,3762.226
Violet,V5 (508),199,34,20.60606,2045.132,0.9709078,3959.025
Violet,V6 (525),202,32,18.82353,1523.938,0.919301,2851.656
Violet,V7 (542),281,50,21.64502,2043.733,1.025769,3197.056
Violet,V8 (581),463,68,17.21519,2393.03,1.328499,1674.739
Violet,V9 (598),294,45,18.07229,2297.55,1.132987,1229.643
Violet,V10 (615),375,53,16.45963,3267.446,1.082032,1141.422
Violet,V11 (664),321,46,16.72727,1330.375,1.119995,543.5363
Violet,V12 (692),265,42,18.83408,1019.776,1.310317,271.001
Violet,V13 (720),211,34,19.20904,1102.504,1.414417,187.5468
Violet,V14 (750),369,63,20.58824,936.8825,1.40954,166.4442
Violet,V15 (780),446,75,20.21563,810.171,1.725839,100.7719
Violet,V16 (812),423,77,22.25434,361.9465,1.967368,38.05777
Blue,B1 (508),663,2,0.3025719,225.6395,1.921816,456.5582
Blue,B2 (525),375,3,0.8064516,278.162,1.715172,400.3563
Blue,B3 (542),378,1,0.265252,1053.898,1.66878,1245.811
Blue,B4 (581),332,4,1.219512,1654.338,1.588299,1340.295
Blue,B5 (598),354,8,2.312139,1839.67,1.567859,1346.418
Blue,B6 (615),232,4,1.754386,1896.193,1.740913,1051.147
Blue,B7 (661),367,8,2.228412,1146.036,1.678141,646.2342
Blue,B8 (679),372,9,2.479339,929.2695,1.75202,521.755
Blue,B9 (697),636,27,4.433497,1130.859,1.989787,509.2394
Blue,B10 (717),419,18,4.488778,780.3105,2.017216,214.6132
Blue,B11 (738),241,6,2.553191,500.154,2.090252,136.0034
Blue,B12 (760),335,12,3.71517,490.4465,2.123161,114.7042
Blue,B13 (783),500,16,3.305785,384.7195,2.358315,80.47699
Blue,B14 (812),527,26,5.18962,386.7815,2.253868,77.37734
YellowGreen,YG1 (577),330,-2,-0.6024096,1743.535,1.135052,1286.934
YellowGreen,YG2 (598),348,-3,-0.8547009,2425.73,1.106177,1760.718
YellowGreen,YG3 (615),240,1,0.41841,3265.48,1.226467,2276.684
YellowGreen,YG4 (661),414,-5,-1.193317,1830.197,1.172151,1534.004
YellowGreen,YG5 (679),339,2,0.5934718,1596.028,1.267859,1262.961
YellowGreen,YG6 (697),490,7,1.449275,1761.85,1.492578,800.6797
YellowGreen,YG7 (720),325,11,3.503185,2387.85,1.552844,770.4022
YellowGreen,YG8 (750),279,12,4.494382,1222.62,1.66807,364.9626
YellowGreen,YG9 (780),406,18,4.639175,1043.105,1.729122,217.9637
YellowGreen,YG10 (812),413,25,6.443299,566.132,1.702438,102.2643
Red,R1 (661),206,-10,-4.62963,391.969,1.208784,1313.546
Red,R2 (679),170,-2,-1.162791,1073.899,1.183898,2723.262
Red,R3 (697),253,9,3.688525,2030.857,1.273842,2450.997
Red,R4 (717),236,8,3.508772,1928.285,1.304317,1242.133
Red,R5 (738),220,10,4.761905,1627.618,1.4383,1030.001
Red,R6 (760),171,7,4.268293,1403.633,1.388742,702.1822
Red,R7 (783),343,15,4.573171,1579.638,1.510804,598.49
Red,R8 (812),211,12,6.030151,773.9405,1.55175,230.4888


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.4,1.148669,1.45
Violet,-20.075,1.051993,11.15
Blue,0,1.211959,1.45
Red,20.05,1.084924,65
UV,40.4,0.9517683,0
FSC Area Scaling Factor,1.260833,Window Extension,3
Flow Rate,11.64
Temperature,22.5
