DailyQCReport_U0321SP_20260203_073127


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,1990.261,3.033774,2346.713
Violet,SSC,23,3,15,1974.351,4.492978,12008.32
Blue,SSC-B,84,5,6.329114,2013.061,2.938541,10696.71
UV,UV1 (373),1319,7,0.5335366,225.044,4.599982,31.83538
UV,UV2 (388),315,1,0.3184713,1337.575,1.727413,384.8955
UV,UV3 (428),570,-2,-0.3496504,1010.494,1.549905,1588.476
UV,UV4 (443),1018,-4,-0.3913894,883.639,1.766551,2091.941
UV,UV5 (458),606,2,0.3311258,965.278,1.620623,3056.961
UV,UV6 (473),431,3,0.7009345,1489.384,1.539054,5185.694
UV,UV7 (514),564,-3,-0.5291005,2034.997,1.71163,7174.288
UV,UV8 (542),506,-3,-0.589391,1539.447,1.677952,4827.229
UV,UV9 (582),572,-11,-1.886792,2457.151,1.840241,4743.495
UV,UV10 (613),342,-7,-2.005731,1953.156,1.654469,4844.831
UV,UV11 (664),502,-7,-1.375246,868.386,1.662171,2172.012
UV,UV12 (692),415,3,0.7281554,668.962,2.141748,1361.783
UV,UV13 (720),789,19,2.467532,700.633,2.930601,1244.847
UV,UV14 (750),1254,34,2.786885,802.955,3.292958,1580.282
UV,UV15 (780),768,22,2.949062,634.699,3.421684,855.7955
UV,UV16 (812),1100,24,2.230483,425.494,3.737862,675.9294
Violet,V1 (428),203,27,15.34091,800.146,1.340124,1392.403
Violet,V2 (443),272,32,13.33333,1851.855,0.9407608,3158.936
Violet,V3 (458),238,29,13.8756,2148.862,1.049427,4447.748
Violet,V4 (473),200,27,15.60694,2171.043,1.217052,3815.54
Violet,V5 (508),189,24,14.54545,2056.229,1.060294,3793.216
Violet,V6 (525),191,21,12.35294,1531.249,1.010775,3060.285
Violet,V7 (542),266,35,15.15152,2040.219,1.186441,3172.578
Violet,V8 (581),443,48,12.1519,2376.908,1.56227,1604.468
Violet,V9 (598),278,29,11.64659,2290.373,1.355821,1180.033
Violet,V10 (615),360,38,11.80124,3310.705,1.291301,1156.388
Violet,V11 (664),306,31,11.27273,1315.166,1.260512,521.473
Violet,V12 (692),252,29,13.00449,1021.272,1.57311,276.1036
Violet,V13 (720),203,26,14.68927,1103.183,2.201482,189.6379
Violet,V14 (750),351,45,14.70588,934.482,2.45899,146.5528
Violet,V15 (780),429,58,15.63342,814.793,2.828021,101.4798
Violet,V16 (812),404,58,16.76301,360.518,3.133802,37.85538
Blue,B1 (508),687,26,3.933434,224.418,2.080269,454.3443
Blue,B2 (525),386,14,3.763441,277.413,1.930009,398.3857
Blue,B3 (542),389,12,3.183024,1056.989,1.864348,1252.442
Blue,B4 (581),332,4,1.219512,1633.343,1.86526,1459.316
Blue,B5 (598),349,3,0.867052,1837.024,1.837892,1396.328
Blue,B6 (615),231,3,1.315789,1899.461,1.969425,1052.595
Blue,B7 (661),364,5,1.392758,1124.881,1.879647,634.6453
Blue,B8 (679),373,10,2.754821,926.155,1.947016,575.1216
Blue,B9 (697),640,31,5.090312,1133.071,2.474134,483.0439
Blue,B10 (717),435,34,8.478804,764.986,2.82554,219.064
Blue,B11 (738),253,18,7.659575,505.956,3.100481,145.3421
Blue,B12 (760),356,33,10.21672,489.136,3.229899,117.6077
Blue,B13 (783),547,63,13.01653,389.296,3.53626,82.91872
Blue,B14 (812),549,48,9.580839,383.786,3.52565,78.07581
YellowGreen,YG1 (577),331,-1,-0.3012048,1751.327,1.363755,1297.145
YellowGreen,YG2 (598),353,2,0.5698006,2462.471,1.271952,1702.103
YellowGreen,YG3 (615),242,3,1.25523,3267.932,1.274292,2402.972
YellowGreen,YG4 (661),419,0,0,1833.086,1.139182,1504.824
YellowGreen,YG5 (679),342,5,1.48368,1593.705,1.318151,1339.736
YellowGreen,YG6 (697),499,16,3.312629,1763.764,1.962566,798.3738
YellowGreen,YG7 (720),331,17,5.414013,2392.913,2.369585,742.7454
YellowGreen,YG8 (750),287,20,7.490636,1237.798,2.684214,380.8331
YellowGreen,YG9 (780),416,28,7.216495,1046.394,2.91906,245.4402
YellowGreen,YG10 (812),421,33,8.505155,567.053,3.092721,96.01995
Red,R1 (661),211,-5,-2.314815,391.086,1.379053,1342.847
Red,R2 (679),174,2,1.162791,1081.814,1.431708,2827.254
Red,R3 (697),254,10,4.098361,2025.482,2.073182,2251.783
Red,R4 (717),240,12,5.263158,1918.618,2.502303,1246.707
Red,R5 (738),222,12,5.714286,1611.422,2.782912,1016.394
Red,R6 (760),174,10,6.097561,1400.407,2.685314,730.4756
Red,R7 (783),349,21,6.402439,1576.305,2.913956,565.8472
Red,R8 (812),217,18,9.045226,781.897,3.073715,240.024


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.35,1.135412,1.4
Violet,-20,1.080041,11
Blue,0,1.190586,1.4
Red,20,1.064617,64.96
UV,40.325,0.9446117,0
FSC Area Scaling Factor,1.238472,Window Extension,3
Flow Rate,12.23
Temperature,22
