DailyQCReport_U0321SP_20260129_071547


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,1964.96,0.9070552,2279.009
Violet,SSC,23,3,15,1989.196,4.12366,12176.89
Blue,SSC-B,85,6,7.594936,2006.002,2.980217,11146.28
UV,UV1 (373),1379,67,5.106707,225.854,3.45806,32.02924
UV,UV2 (388),331,17,5.414013,1341.094,1.408804,397.7023
UV,UV3 (428),602,30,5.244755,1019.59,1.726546,1564.421
UV,UV4 (443),1095,73,7.142858,894.11,1.98232,2125.083
UV,UV5 (458),641,37,6.125828,956.796,1.86077,3075.907
UV,UV6 (473),456,28,6.542056,1481.534,1.792969,5342.633
UV,UV7 (514),602,35,6.17284,2045.842,1.933637,7007.688
UV,UV8 (542),542,33,6.483301,1558.671,1.827072,4966.432
UV,UV9 (582),614,31,5.317324,2473.182,1.867124,4423.886
UV,UV10 (613),364,15,4.297995,1962.479,1.781107,4685.238
UV,UV11 (664),533,24,4.715128,877.096,1.866935,2079.057
UV,UV12 (692),430,18,4.368932,658.056,1.983703,1219.89
UV,UV13 (720),819,49,6.363636,700.183,2.282556,1246.924
UV,UV14 (750),1285,65,5.327869,797.796,2.461217,1575.177
UV,UV15 (780),790,44,5.898123,630.566,2.480486,780.0965
UV,UV16 (812),1131,55,5.111524,421.44,2.836337,657.5598
Violet,V1 (428),202,26,14.77273,804.438,1.067399,1404.599
Violet,V2 (443),271,31,12.91667,1845.373,0.8158397,3169.303
Violet,V3 (458),236,27,12.91866,2140.659,0.8879398,4218.77
Violet,V4 (473),199,26,15.0289,2186.347,1.038315,3859.363
Violet,V5 (508),188,23,13.93939,2051.132,0.8985827,3553.457
Violet,V6 (525),189,19,11.17647,1514.281,0.8657424,2957.718
Violet,V7 (542),266,35,15.15152,2047.801,0.9642023,3275.854
Violet,V8 (581),442,47,11.89873,2379.998,1.239461,1539.583
Violet,V9 (598),279,30,12.04819,2299.979,1.105538,1139.915
Violet,V10 (615),359,37,11.49068,3329.157,1.069322,1162.171
Violet,V11 (664),308,33,12,1332.613,1.065846,515.2244
Violet,V12 (692),248,25,11.21076,1025.194,1.114223,283.6642
Violet,V13 (720),197,20,11.29943,1092.86,1.244153,183.0445
Violet,V14 (750),341,35,11.43791,928.572,1.335674,151.3015
Violet,V15 (780),416,45,12.12938,812.648,1.510469,102.2651
Violet,V16 (812),391,45,13.00578,360.448,1.746855,37.02243
Blue,B1 (508),692,31,4.689864,223.143,1.985702,455.0228
Blue,B2 (525),391,19,5.107527,278.805,1.824781,412.5097
Blue,B3 (542),391,14,3.713528,1052.849,1.743822,1261.213
Blue,B4 (581),335,7,2.134146,1647.528,1.69117,1433.022
Blue,B5 (598),357,11,3.179191,1852.138,1.653063,1316.167
Blue,B6 (615),234,6,2.631579,1895.7,1.825773,1059.452
Blue,B7 (661),376,17,4.735376,1140.429,1.756807,657.965
Blue,B8 (679),376,13,3.581267,920.846,1.871194,632.4094
Blue,B9 (697),659,50,8.21018,1124.74,2.095186,465.2565
Blue,B10 (717),436,35,8.728179,758.583,2.141064,225.6237
Blue,B11 (738),252,17,7.234043,504.044,2.252473,156.4673
Blue,B12 (760),353,30,9.287926,485.986,2.238632,112.7908
Blue,B13 (783),534,50,10.33058,385.103,2.515738,81.92748
Blue,B14 (812),534,33,6.586827,381.592,2.423592,77.55347
YellowGreen,YG1 (577),335,3,0.9036144,1755.512,1.117546,1402.7
YellowGreen,YG2 (598),353,2,0.5698006,2454.01,1.125108,1800.7
YellowGreen,YG3 (615),242,3,1.25523,3260.772,1.243173,2353.274
YellowGreen,YG4 (661),427,8,1.909308,1872.396,1.13243,1522.8
YellowGreen,YG5 (679),344,7,2.077151,1597.13,1.211417,1276
YellowGreen,YG6 (697),490,7,1.449275,1755.296,1.4678,751.4442
YellowGreen,YG7 (720),325,11,3.503185,2382.316,1.561698,740.9356
YellowGreen,YG8 (750),280,13,4.868914,1225.041,1.679924,367.7738
YellowGreen,YG9 (780),404,16,4.123711,1040.256,1.78302,231.7623
YellowGreen,YG10 (812),409,21,5.412371,564.512,1.773134,106.9745
Red,R1 (661),215,-1,-0.462963,387.95,1.309058,1325.154
Red,R2 (679),175,3,1.744186,1078.637,1.237126,2612.669
Red,R3 (697),250,6,2.459016,2009.102,1.393391,2331.772
Red,R4 (717),235,7,3.070175,1908.205,1.466352,1315.562
Red,R5 (738),215,5,2.380952,1601.806,1.661063,1031.852
Red,R6 (760),169,5,3.04878,1392.786,1.505797,694.1106
Red,R7 (783),340,12,3.658536,1574.605,1.65976,538.3533
Red,R8 (812),209,10,5.025126,772.334,1.751158,240.4587


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.375,1.131536,1.4
Violet,-20.05,1.07993,11
Blue,0,1.184644,1.425
Red,20,1.061559,65.2
UV,40.35,0.9451681,0
FSC Area Scaling Factor,1.234064,Window Extension,3
Flow Rate,11.86
Temperature,21.75
