DailyQCReport_U0321SP_20260219_082356


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,176,2,1.149425,2092.958,1.993309,2304.602
Violet,SSC,25,5,25,1964.69,4.38906,12661.12
Blue,SSC-B,81,2,2.531646,2051.687,2.806986,11088.44
UV,UV1 (373),1352,40,3.04878,228.173,4.382052,32.8139
UV,UV2 (388),328,14,4.458599,1375.373,1.63041,395.3229
UV,UV3 (428),599,27,4.72028,1046.088,1.571737,1625.034
UV,UV4 (443),1059,37,3.620352,913.393,1.781474,1943.56
UV,UV5 (458),631,27,4.470199,983.057,1.614019,2750.053
UV,UV6 (473),448,20,4.672897,1525.37,1.557332,5401.331
UV,UV7 (514),589,22,3.88007,2094.322,1.688745,7697.118
UV,UV8 (542),533,24,4.715128,1577.675,1.567284,4983.168
UV,UV9 (582),609,26,4.459692,2564.912,1.633909,4519.088
UV,UV10 (613),363,14,4.011461,2020.948,1.57958,4773.487
UV,UV11 (664),526,17,3.339882,894.374,1.670737,2316.283
UV,UV12 (692),420,8,1.941748,674.998,1.724304,1315.95
UV,UV13 (720),800,30,3.896104,707.506,1.891657,1133.642
UV,UV14 (750),1257,37,3.032787,808.311,2.150966,1594.274
UV,UV15 (780),774,28,3.753351,644.726,2.118327,865.5111
UV,UV16 (812),1105,29,2.695167,435.149,2.487768,653.5127
Violet,V1 (428),211,35,19.88636,785.163,1.246696,1447.193
Violet,V2 (443),285,45,18.75,1835.814,0.9099881,3448.212
Violet,V3 (458),246,37,17.70335,2108.026,1.009174,4232.782
Violet,V4 (473),208,35,20.23121,2141.845,1.144979,3685.53
Violet,V5 (508),198,33,20,2026.24,0.9700271,3701.193
Violet,V6 (525),200,30,17.64706,1495.574,0.9076041,2858.462
Violet,V7 (542),279,48,20.77922,2021.589,0.9841185,2932.24
Violet,V8 (581),465,70,17.72152,2357.171,1.226165,1729.683
Violet,V9 (598),293,44,17.67068,2233.62,1.028613,1194.949
Violet,V10 (615),378,56,17.3913,3246.128,0.9817592,1143.087
Violet,V11 (664),321,46,16.72727,1309.994,1.059432,506.3806
Violet,V12 (692),259,36,16.1435,989.75,1.227733,293.9619
Violet,V13 (720),204,27,15.25424,1066.649,1.212778,185.0634
Violet,V14 (750),352,46,15.03268,907.686,1.088185,164.6704
Violet,V15 (780),430,59,15.90296,790.762,1.43787,99.15865
Violet,V16 (812),402,56,16.18497,351.508,1.652078,37.3064
Blue,B1 (508),676,15,2.269289,229.643,1.896761,452.5737
Blue,B2 (525),378,6,1.612903,281.508,1.666244,395.2827
Blue,B3 (542),389,12,3.183024,1071.608,1.586089,1232.486
Blue,B4 (581),340,12,3.658536,1679.355,1.543705,1325.971
Blue,B5 (598),353,7,2.023121,1866.927,1.468796,1393.641
Blue,B6 (615),232,4,1.754386,1920.683,1.667386,1028.497
Blue,B7 (661),361,2,0.557103,1155.371,1.578451,637.3336
Blue,B8 (679),365,2,0.5509642,932.335,1.625846,543.5866
Blue,B9 (697),608,-1,-0.1642036,1127.815,1.816902,492.1507
Blue,B10 (717),409,8,1.995013,778.591,1.791494,217.3722
Blue,B11 (738),240,5,2.12766,507.379,1.90619,140.4683
Blue,B12 (760),331,8,2.47678,489.331,1.861406,112.2119
Blue,B13 (783),509,25,5.165289,384.835,2.110305,76.98439
Blue,B14 (812),521,20,3.992016,385.239,2.010401,74.11994
YellowGreen,YG1 (577),335,3,0.9036144,1773.923,1.191081,1327.488
YellowGreen,YG2 (598),355,4,1.139601,2454.946,1.138851,1739.369
YellowGreen,YG3 (615),243,4,1.67364,3275.698,1.295468,2418.66
YellowGreen,YG4 (661),417,-2,-0.477327,1853.667,1.287753,1598.712
YellowGreen,YG5 (679),338,1,0.2967359,1605.318,1.348573,1299.04
YellowGreen,YG6 (697),489,6,1.242236,1787.987,1.542249,764.3082
YellowGreen,YG7 (720),316,2,0.6369427,2377.621,1.512232,755.5548
YellowGreen,YG8 (750),272,5,1.872659,1224.14,1.606443,369.0398
YellowGreen,YG9 (780),392,4,1.030928,1032.263,1.636839,231.9133
YellowGreen,YG10 (812),393,5,1.28866,563.824,1.541099,101.1968
Red,R1 (661),210,-6,-2.777778,402.204,1.259888,1292.225
Red,R2 (679),172,0,0,1091.042,1.257854,2672.869
Red,R3 (697),246,2,0.8196721,2027.577,1.248329,2156.59
Red,R4 (717),229,1,0.4385965,1918.275,1.162717,1303.834
Red,R5 (738),211,1,0.4761905,1613.096,1.300166,974.4279
Red,R6 (760),165,1,0.6097561,1404.7,1.284667,717.8788
Red,R7 (783),330,2,0.6097561,1568.191,1.324222,570.2401
Red,R8 (812),202,3,1.507538,770.023,1.316198,234.1298


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.2,1.156602,1.475
Violet,-19.9,1.039024,11.15
Blue,0,1.226597,1.55
Red,20.1,1.097966,65.12
UV,40.325,0.9534789,0
FSC Area Scaling Factor,1.278385,Window Extension,3
Flow Rate,9.47
Temperature,23.25
