DailyQCReport_U0321SP_20260123_101246


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,165,-9,-5.172414,1954.541,2.478063,1700.37
Violet,SSC,25,5,25,2019.974,4.725524,13098.2
Blue,SSC-B,78,-1,-1.265823,2000.891,3.218228,11623.01
UV,UV1 (373),1332,20,1.52439,224.056,4.402495,27.20678
UV,UV2 (388),324,10,3.184713,1341.671,1.572456,291.8755
UV,UV3 (428),586,14,2.447552,1023.565,1.579539,1391.371
UV,UV4 (443),1036,14,1.369863,891.632,1.823139,1940.888
UV,UV5 (458),609,5,0.8278145,950.549,1.685368,2421.393
UV,UV6 (473),435,7,1.635514,1482.173,1.616758,4786.895
UV,UV7 (514),578,11,1.940035,2046.681,1.75413,6429.623
UV,UV8 (542),512,3,0.589391,1541.45,1.757176,4267.075
UV,UV9 (582),582,-1,-0.1715266,2453.561,1.888288,4280.989
UV,UV10 (613),351,2,0.5730659,1945.865,1.664763,4058.438
UV,UV11 (664),515,6,1.178782,856.258,1.741642,1884.397
UV,UV12 (692),428,16,3.883495,657.09,2.480172,1216.683
UV,UV13 (720),822,52,6.753246,688.659,3.466943,1147.803
UV,UV14 (750),1320,100,8.196721,795.995,3.89367,1566.432
UV,UV15 (780),808,62,8.310992,627.653,4.113782,777.3867
UV,UV16 (812),1150,74,6.877323,412.618,4.410209,598.5001
Violet,V1 (428),206,30,17.04545,796.989,1.922662,1598.669
Violet,V2 (443),281,41,17.08333,1849.76,1.496345,3342.369
Violet,V3 (458),245,36,17.22488,2175.296,1.600533,4145.413
Violet,V4 (473),204,31,17.91908,2177.764,1.822603,3823.751
Violet,V5 (508),193,28,16.9697,2046.712,1.636537,3795.304
Violet,V6 (525),194,24,14.11765,1509.142,1.589059,2833.214
Violet,V7 (542),273,42,18.18182,2053.073,1.687678,3008.908
Violet,V8 (581),452,57,14.43038,2387.134,1.978975,1770.696
Violet,V9 (598),287,38,15.26104,2285.725,1.684449,1204.807
Violet,V10 (615),376,54,16.77019,3296.898,1.568852,1179.999
Violet,V11 (664),319,44,16,1324.446,1.494465,526.5639
Violet,V12 (692),264,41,18.38565,1006.921,1.89275,283.59
Violet,V13 (720),214,37,20.90396,1090.729,2.790319,192.5929
Violet,V14 (750),374,68,22.22222,920.256,3.132463,152.3463
Violet,V15 (780),457,86,23.18059,807.388,3.551012,97.71126
Violet,V16 (812),426,80,23.12139,354.064,3.817965,38.08965
Blue,B1 (508),652,-9,-1.361573,226.941,1.922435,424.9562
Blue,B2 (525),362,-10,-2.688172,276.377,1.720268,393.8542
Blue,B3 (542),374,-3,-0.795756,1060.361,1.737924,1218.968
Blue,B4 (581),319,-9,-2.743902,1655.081,1.773396,1254.963
Blue,B5 (598),337,-9,-2.601156,1853.163,1.644951,1340.092
Blue,B6 (615),222,-6,-2.631579,1912.859,1.758139,1107.404
Blue,B7 (661),348,-11,-3.064067,1138.707,1.636337,642.976
Blue,B8 (679),357,-6,-1.652892,924.611,1.743324,550.825
Blue,B9 (697),625,16,2.627258,1143.686,2.367699,460.0779
Blue,B10 (717),420,19,4.738154,760.313,2.796058,215.4246
Blue,B11 (738),247,12,5.106383,502.443,3.109722,143.2216
Blue,B12 (760),346,23,7.120743,485.285,3.326138,107.9755
Blue,B13 (783),535,51,10.53719,385.353,3.622779,75.3157
Blue,B14 (812),540,39,7.784431,380.132,3.638077,74.70843
YellowGreen,YG1 (577),320,-12,-3.614458,1737.269,1.366445,1234.611
YellowGreen,YG2 (598),345,-6,-1.709402,2439.576,1.295232,1589.872
YellowGreen,YG3 (615),237,-2,-0.8368201,3287.837,1.346592,2146.895
YellowGreen,YG4 (661),408,-11,-2.625298,1835.483,1.175979,1348.253
YellowGreen,YG5 (679),336,-1,-0.2967359,1584.233,1.502568,1157.345
YellowGreen,YG6 (697),496,13,2.691511,1778.497,2.411782,729.6367
YellowGreen,YG7 (720),325,11,3.503185,2362.744,3.090799,718.9766
YellowGreen,YG8 (750),281,14,5.243445,1214.932,3.51197,348.3308
YellowGreen,YG9 (780),408,20,5.154639,1033.986,3.788077,217.8982
YellowGreen,YG10 (812),412,24,6.185567,557.433,4.006854,102.931
Red,R1 (661),201,-15,-6.944445,387.004,2.030242,1174.73
Red,R2 (679),173,1,0.5813953,1082.054,2.385121,2585.54
Red,R3 (697),252,8,3.278688,1994.156,3.310403,1990.389
Red,R4 (717),239,11,4.824561,1906.849,3.898262,1266.204
Red,R5 (738),221,11,5.238095,1593.702,4.163905,949.8562
Red,R6 (760),173,9,5.487805,1386.409,4.211026,698.1806
Red,R7 (783),347,19,5.792683,1557.774,4.357576,553.712
Red,R8 (812),215,16,8.040201,768.24,4.54262,221.5035


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.625,1.166379,1.45
Violet,-20.25,1.029868,11.25
Blue,0,1.238843,1.475
Red,20.175,1.116532,65
UV,40.325,0.9553611,0
FSC Area Scaling Factor,1.292131,Window Extension,3
Flow Rate,10.79
Temperature,24.75
