DailyQCReport_U0321SP_20260127_094512


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,165,-9,-5.172414,1912.956,2.091643,1563.725
Violet,SSC,24,4,20,2004.553,4.57153,12749.72
Blue,SSC-B,78,-1,-1.265823,1989.652,2.848426,10469.87
UV,UV1 (373),1332,20,1.52439,227.1135,4.515284,31.19752
UV,UV2 (388),319,5,1.592357,1328.925,1.595762,383.0088
UV,UV3 (428),581,9,1.573427,1015.815,1.650379,1586.327
UV,UV4 (443),1018,-4,-0.3913894,873.4185,1.901676,1976.593
UV,UV5 (458),613,9,1.490066,968.675,1.750052,2879.459
UV,UV6 (473),434,6,1.401869,1468.5,1.696617,4865.929
UV,UV7 (514),573,6,1.058201,2024.827,1.834836,7142.608
UV,UV8 (542),513,4,0.7858546,1528.877,1.697544,4829.985
UV,UV9 (582),589,6,1.02916,2468.033,1.767752,4439.157
UV,UV10 (613),355,6,1.719198,1964.506,1.678657,4745.055
UV,UV11 (664),515,6,1.178782,864.262,1.784002,2103.234
UV,UV12 (692),413,1,0.2427184,653.9345,1.858391,1287.407
UV,UV13 (720),773,3,0.3896104,684.244,1.991857,1073.292
UV,UV14 (750),1235,15,1.229508,800.424,2.236658,1656.404
UV,UV15 (780),765,19,2.546917,642.651,2.161955,881.9488
UV,UV16 (812),1084,8,0.7434944,427.3545,2.458389,644.1143
Violet,V1 (428),203,27,15.34091,795.454,1.453449,1513.772
Violet,V2 (443),277,37,15.41667,1868.193,1.017522,3433.081
Violet,V3 (458),240,31,14.83254,2148.781,1.121396,4245.502
Violet,V4 (473),201,28,16.18497,2169.344,1.296921,3854.947
Violet,V5 (508),191,26,15.75758,2053.306,1.090043,3928.304
Violet,V6 (525),194,24,14.11765,1527.186,1.00326,2900.664
Violet,V7 (542),271,40,17.31602,2052.067,1.087278,3215.438
Violet,V8 (581),455,60,15.18987,2429.12,1.351371,1740.675
Violet,V9 (598),285,36,14.45783,2278.103,1.15346,1208.079
Violet,V10 (615),373,51,15.83851,3333.351,1.112627,1184.474
Violet,V11 (664),314,39,14.18182,1331.27,1.165429,545.056
Violet,V12 (692),257,34,15.24664,1031.667,1.415026,295.7544
Violet,V13 (720),204,27,15.25424,1111.145,1.39907,193.9142
Violet,V14 (750),351,45,14.70588,943.3755,1.252363,167.751
Violet,V15 (780),419,48,12.938,807.861,1.662974,97.39461
Violet,V16 (812),395,49,14.16185,363.2635,1.922592,38.93395
Blue,B1 (508),655,-6,-0.9077156,226.7385,1.904253,437.526
Blue,B2 (525),370,-2,-0.5376344,278.996,1.665239,416.4215
Blue,B3 (542),377,0,0,1050.645,1.592427,1292.612
Blue,B4 (581),331,3,0.9146341,1640.475,1.574867,1339.005
Blue,B5 (598),350,4,1.156069,1832.106,1.501692,1308.33
Blue,B6 (615),230,2,0.877193,1893.301,1.667945,1097.745
Blue,B7 (661),357,-2,-0.557103,1142.256,1.630598,654.7676
Blue,B8 (679),361,-2,-0.5509642,918.221,1.63186,517.9106
Blue,B9 (697),605,-4,-0.6568145,1130.39,1.816709,470.8476
Blue,B10 (717),405,4,0.9975063,778.603,1.79018,214.5527
Blue,B11 (738),235,0,0,504.1445,1.859528,147.7887
Blue,B12 (760),325,2,0.619195,490.9455,1.81512,113.0128
Blue,B13 (783),496,12,2.479339,385.04,2.026093,75.86295
Blue,B14 (812),514,13,2.59481,388.739,1.943188,77.20756
YellowGreen,YG1 (577),331,-1,-0.3012048,1762.093,1.13016,1274.44
YellowGreen,YG2 (598),351,0,0,2428.102,1.050111,1696.922
YellowGreen,YG3 (615),241,2,0.8368201,3239.647,1.206358,2310.123
YellowGreen,YG4 (661),416,-3,-0.7159905,1858.934,1.180428,1601.588
YellowGreen,YG5 (679),340,3,0.8902078,1607.494,1.244308,1312.469
YellowGreen,YG6 (697),486,3,0.621118,1792.587,1.412668,767.1348
YellowGreen,YG7 (720),318,4,1.273885,2410.788,1.380162,741.3297
YellowGreen,YG8 (750),267,0,0,1210.217,1.49289,341.8865
YellowGreen,YG9 (780),392,4,1.030928,1040.111,1.47868,225.0849
YellowGreen,YG10 (812),394,6,1.546392,572.435,1.374423,103.4812
Red,R1 (661),206,-10,-4.62963,393.9985,1.283386,1298.904
Red,R2 (679),167,-5,-2.906977,1048.29,1.267799,2442.689
Red,R3 (697),246,2,0.8196721,2031.144,1.288542,2290.995
Red,R4 (717),232,4,1.754386,1946.723,1.168136,1293.938
Red,R5 (738),211,1,0.4761905,1621.437,1.29181,1026.001
Red,R6 (760),165,1,0.6097561,1411.705,1.33273,728.4293
Red,R7 (783),329,1,0.304878,1576.582,1.324759,606.6492
Red,R8 (812),203,4,2.01005,784.0035,1.262932,223.5134


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.425,1.157873,1.4
Violet,-20.125,1.05512,11
Blue,0,1.227535,1.45
Red,20.05,1.098727,65
UV,40.325,0.9510165,0
FSC Area Scaling Factor,1.277143,Window Extension,3
Flow Rate,11.33
Temperature,23.25
