DailyQCReport_U0321SP_20260216_074441


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,165,-9,-5.172414,1898.027,1.980538,1929.841
Violet,SSC,25,5,25,1988.851,4.456057,12709.72
Blue,SSC-B,80,1,1.265823,2005.231,2.892189,11189.47
UV,UV1 (373),1299,-13,-0.9908537,227.8985,4.677814,31.27926
UV,UV2 (388),311,-3,-0.9554141,1344.991,1.839793,382.8841
UV,UV3 (428),564,-8,-1.398601,1014.532,1.488919,1576.633
UV,UV4 (443),1010,-12,-1.174168,897.61,1.644858,2169.18
UV,UV5 (458),591,-13,-2.152318,951.7735,1.484951,2810.281
UV,UV6 (473),422,-6,-1.401869,1473.365,1.40835,4920.802
UV,UV7 (514),561,-6,-1.058201,2061.125,1.516898,7193.863
UV,UV8 (542),505,-4,-0.7858546,1550.372,1.428661,4810.45
UV,UV9 (582),572,-11,-1.886792,2459.258,1.485722,4595.802
UV,UV10 (613),342,-7,-2.005731,1957.03,1.43261,4670.441
UV,UV11 (664),494,-15,-2.946955,860.5235,1.534861,2199.075
UV,UV12 (692),402,-10,-2.427184,666.2895,1.595549,1316.799
UV,UV13 (720),763,-7,-0.9090909,696.9405,1.794313,1173.788
UV,UV14 (750),1199,-21,-1.721312,801.6635,2.058686,1570.545
UV,UV15 (780),736,-10,-1.340483,632.8495,2.052595,832.3821
UV,UV16 (812),1054,-22,-2.04461,423.6505,2.401377,634.6348
Violet,V1 (428),213,37,21.02273,798.5385,1.319127,1457.421
Violet,V2 (443),289,49,20.41667,1872.214,0.9459479,3544.989
Violet,V3 (458),252,43,20.57416,2185.739,1.045019,4400.328
Violet,V4 (473),212,39,22.54335,2196.417,1.213709,3604.195
Violet,V5 (508),201,36,21.81818,2060.825,1.011952,4011.778
Violet,V6 (525),203,33,19.41176,1532.309,0.9384763,2895.559
Violet,V7 (542),283,52,22.51082,2055.149,1.014883,3166.013
Violet,V8 (581),471,76,19.24051,2403.898,1.273752,1747.378
Violet,V9 (598),297,48,19.27711,2302.169,1.090375,1238.723
Violet,V10 (615),385,63,19.56522,3315.608,1.054599,1223.753
Violet,V11 (664),330,55,20,1345.724,1.100299,550.522
Violet,V12 (692),263,40,17.93722,1026.593,1.294865,321.7733
Violet,V13 (720),209,32,18.0791,1107.665,1.269308,183.3672
Violet,V14 (750),361,55,17.97386,940.4755,1.158117,166.1315
Violet,V15 (780),440,69,18.59838,820.1835,1.518343,107.0587
Violet,V16 (812),412,66,19.07515,363.7595,1.834106,37.81712
Blue,B1 (508),654,-7,-1.059001,225.393,1.888143,454.1007
Blue,B2 (525),369,-3,-0.8064516,278.481,1.628325,413.6944
Blue,B3 (542),379,2,0.530504,1068.722,1.586837,1267.198
Blue,B4 (581),332,4,1.219512,1641.183,1.54718,1295.162
Blue,B5 (598),352,6,1.734104,1836.348,1.478455,1337.445
Blue,B6 (615),231,3,1.315789,1900.333,1.6394,991.8625
Blue,B7 (661),365,6,1.671309,1150.761,1.610026,649.3884
Blue,B8 (679),364,1,0.2754821,918.565,1.606771,551.0605
Blue,B9 (697),614,5,0.821018,1147.13,1.808798,476.1739
Blue,B10 (717),405,4,0.9975063,779.1185,1.795228,221.0724
Blue,B11 (738),236,1,0.4255319,504.6815,1.890538,140.8342
Blue,B12 (760),324,1,0.3095975,491.521,1.830352,113.3489
Blue,B13 (783),492,8,1.652892,389.268,2.048037,80.98173
Blue,B14 (812),513,12,2.39521,390.64,2.04846,77.22279
YellowGreen,YG1 (577),330,-2,-0.6024096,1740.762,1.124726,1282.217
YellowGreen,YG2 (598),348,-3,-0.8547009,2425.669,1.144274,1709.659
YellowGreen,YG3 (615),239,0,0,3246.185,1.261266,2269.249
YellowGreen,YG4 (661),415,-4,-0.954654,1852.582,1.144928,1597.494
YellowGreen,YG5 (679),336,-1,-0.2967359,1595.041,1.224468,1264.04
YellowGreen,YG6 (697),485,2,0.4140787,1774.246,1.371752,736.4442
YellowGreen,YG7 (720),314,0,0,2391.841,1.364051,718.3101
YellowGreen,YG8 (750),269,2,0.7490637,1222.681,1.434227,363.6936
YellowGreen,YG9 (780),390,2,0.5154639,1038.691,1.484895,228.7936
YellowGreen,YG10 (812),393,5,1.28866,570.2365,1.570405,103.2353
Red,R1 (661),212,-4,-1.851852,391.2795,1.256178,1304.952
Red,R2 (679),171,-1,-0.5813953,1071.406,1.249678,2600.757
Red,R3 (697),244,0,0,2012.691,1.266741,2178.489
Red,R4 (717),229,1,0.4385965,1923.825,1.19093,1244.546
Red,R5 (738),211,1,0.4761905,1610.965,1.312106,990.7906
Red,R6 (760),165,1,0.6097561,1406.099,1.296684,681.0344
Red,R7 (783),331,3,0.9146341,1576.321,1.353141,573.3189
Red,R8 (812),204,5,2.512563,780.862,1.462981,236.0672


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.325,1.158048,1.45
Violet,-20.1,1.048446,11.2
Blue,0,1.227327,1.475
Red,19.975,1.098323,64.96
UV,40.25,0.9512761,0
FSC Area Scaling Factor,1.277071,Window Extension,3
Flow Rate,10.58
Temperature,23.25
