DailyQCReport_U0321SP_20260117_074046


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,2033.571,2.210352,2384.585
Violet,SSC,23,3,15,2028.155,4.242559,13387.12
Blue,SSC-B,81,2,2.531646,1998.343,2.727711,10840.23
UV,UV1 (373),1296,-16,-1.219512,224.29,3.900936,31.05226
UV,UV2 (388),315,1,0.3184713,1326.523,1.460933,381.2439
UV,UV3 (428),571,-1,-0.1748252,1002.786,1.55847,1556.674
UV,UV4 (443),1030,8,0.7827789,897.677,1.786548,2160.79
UV,UV5 (458),608,4,0.6622517,959.5275,1.653646,3063.469
UV,UV6 (473),431,3,0.7009345,1472.669,1.61628,5037.652
UV,UV7 (514),572,5,0.8818342,2036.644,1.760635,6959.804
UV,UV8 (542),512,3,0.589391,1535.495,1.639441,4747.058
UV,UV9 (582),583,0,0,2448.865,1.714946,4379.713
UV,UV10 (613),349,0,0,1965.075,1.628307,4629.459
UV,UV11 (664),504,-5,-0.9823183,857.543,1.707782,2139.521
UV,UV12 (692),408,-4,-0.9708738,658.6125,1.774098,1271.13
UV,UV13 (720),771,1,0.1298701,689.703,1.918027,1208.529
UV,UV14 (750),1223,3,0.2459016,793.7625,2.134129,1529.58
UV,UV15 (780),746,0,0,630.566,2.129433,822.1452
UV,UV16 (812),1062,-14,-1.301115,420.5415,2.411839,666.4999
Violet,V1 (428),195,19,10.79545,796.9525,1.228318,1464.965
Violet,V2 (443),268,28,11.66667,1860.87,0.9008352,3295.313
Violet,V3 (458),232,23,11.00478,2147.32,0.987191,4567.283
Violet,V4 (473),194,21,12.13873,2174.157,1.132909,3773.747
Violet,V5 (508),182,17,10.30303,2044.651,0.9639707,3753.233
Violet,V6 (525),187,17,10,1520.126,0.8891157,2841.805
Violet,V7 (542),260,29,12.55411,2045.072,0.9785674,3042.266
Violet,V8 (581),437,42,10.63291,2387.674,1.229906,1660.751
Violet,V9 (598),274,25,10.04016,2284.54,1.073849,1176.403
Violet,V10 (615),347,25,7.763975,3248.576,1.06543,1136.288
Violet,V11 (664),302,27,9.818182,1322.813,1.103996,533.2234
Violet,V12 (692),243,20,8.96861,1021.116,1.358793,281.0753
Violet,V13 (720),193,16,9.039548,1095.462,1.373776,189.389
Violet,V14 (750),333,27,8.823529,927.543,1.209388,154.4762
Violet,V15 (780),404,33,8.894878,813.579,1.652963,102.0444
Violet,V16 (812),379,33,9.537573,360.0855,1.79983,38.01789
Blue,B1 (508),678,17,2.571861,225.22,1.91417,429.0455
Blue,B2 (525),380,8,2.150538,276.549,1.743288,397.9993
Blue,B3 (542),384,7,1.856764,1059.891,1.65754,1284.168
Blue,B4 (581),328,0,0,1640.389,1.601316,1385.093
Blue,B5 (598),347,1,0.2890173,1832.989,1.566269,1271.478
Blue,B6 (615),229,1,0.4385965,1903.448,1.727066,1134.355
Blue,B7 (661),364,5,1.392758,1134.647,1.657903,694.3677
Blue,B8 (679),370,7,1.928375,923.0655,1.716716,577.588
Blue,B9 (697),629,20,3.284072,1131.493,1.883362,501.3493
Blue,B10 (717),421,20,4.987531,763.801,1.882078,202.8201
Blue,B11 (738),244,9,3.829787,504.5135,1.960113,137.6641
Blue,B12 (760),342,19,5.882353,489.8515,1.892,114.7549
Blue,B13 (783),519,35,7.231405,384.903,2.121007,78.69943
Blue,B14 (812),517,16,3.193613,384.898,2.058491,77.97053
YellowGreen,YG1 (577),331,-1,-0.3012048,1763.881,1.122878,1328.426
YellowGreen,YG2 (598),349,-2,-0.5698006,2432.544,1.170081,1702.347
YellowGreen,YG3 (615),242,3,1.25523,3308.818,1.271479,2315.9
YellowGreen,YG4 (661),413,-6,-1.431981,1837.51,1.136468,1507.071
YellowGreen,YG5 (679),337,0,0,1591.288,1.207779,1312.345
YellowGreen,YG6 (697),478,-5,-1.035197,1743.583,1.348325,800.9977
YellowGreen,YG7 (720),315,1,0.3184713,2398.815,1.321876,762.7435
YellowGreen,YG8 (750),270,3,1.123595,1225.855,1.421664,375.9422
YellowGreen,YG9 (780),388,0,0,1031.54,1.430851,234.7302
YellowGreen,YG10 (812),391,3,0.7731959,568.999,1.418042,101.966
Red,R1 (661),208,-8,-3.703704,390.221,1.249461,1337.267
Red,R2 (679),172,0,0,1081.396,1.156365,2721.169
Red,R3 (697),244,0,0,2008.146,1.199168,2296.815
Red,R4 (717),230,2,0.877193,1922.85,1.102677,1407.614
Red,R5 (738),210,0,0,1610.084,1.240767,961.6874
Red,R6 (760),164,0,0,1398.982,1.24279,697.9534
Red,R7 (783),330,2,0.6097561,1569.374,1.265303,567.5225
Red,R8 (812),203,4,2.01005,777.063,1.328507,235.5319


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.3,1.151618,1.4
Violet,-20.05,1.0692,11.1
Blue,0,1.215855,1.4
Red,20,1.088515,64.96
UV,40.25,0.9469584,0
FSC Area Scaling Factor,1.261039,Window Extension,3
Flow Rate,9.98
Temperature,22.5
