DailyQCReport_U0321SP_20260121_091904


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,2050.589,3.477022,2598.586
Violet,SSC,23,3,15,1993.234,4.43545,13071.29
Blue,SSC-B,80,1,1.265823,2008.389,2.795336,10626.08
UV,UV1 (373),1237,-75,-5.716464,224.657,4.295249,32.02582
UV,UV2 (388),298,-16,-5.095541,1332.485,1.566274,389.0908
UV,UV3 (428),544,-28,-4.895105,1018.405,1.528728,1624.911
UV,UV4 (443),965,-57,-5.5773,887.9385,1.71971,1995.334
UV,UV5 (458),570,-34,-5.629139,954.4315,1.564548,2900.449
UV,UV6 (473),408,-20,-4.672897,1483.312,1.480444,5227.776
UV,UV7 (514),541,-26,-4.585538,2022.854,1.611412,7415.521
UV,UV8 (542),487,-22,-4.3222,1536.264,1.513194,4868.884
UV,UV9 (582),557,-26,-4.459692,2455.53,1.583006,4605.944
UV,UV10 (613),331,-18,-5.157593,1944.913,1.516271,4723.489
UV,UV11 (664),481,-28,-5.500982,859.1475,1.618443,2179.549
UV,UV12 (692),388,-24,-5.825243,655.781,1.676528,1310.216
UV,UV13 (720),738,-32,-4.155844,693.369,1.798361,1195.428
UV,UV14 (750),1166,-54,-4.426229,793.1795,2.033751,1585.79
UV,UV15 (780),711,-35,-4.691689,631.3335,1.994308,822.8599
UV,UV16 (812),1010,-66,-6.133829,419.397,2.262111,631.0155
Violet,V1 (428),198,22,12.5,798.432,1.301364,1427.489
Violet,V2 (443),272,32,13.33333,1869.974,0.9361894,3652.122
Violet,V3 (458),236,27,12.91866,2152.848,1.049253,4468.692
Violet,V4 (473),198,25,14.45087,2178.544,1.204944,3725.729
Violet,V5 (508),186,21,12.72727,2046.916,1.008139,3825.365
Violet,V6 (525),190,20,11.76471,1533.994,0.9483855,2941.109
Violet,V7 (542),265,34,14.71861,2054.433,1.01156,2966.195
Violet,V8 (581),444,49,12.40506,2411.862,1.279741,1689.644
Violet,V9 (598),280,31,12.4498,2310.162,1.086412,1210.128
Violet,V10 (615),362,40,12.42236,3302.039,1.048584,1128.254
Violet,V11 (664),309,34,12.36364,1326.165,1.127196,508.3135
Violet,V12 (692),247,24,10.76233,1028.105,1.363359,275.7462
Violet,V13 (720),197,20,11.29943,1103.629,1.320187,190.9714
Violet,V14 (750),339,33,10.78431,931.002,1.167699,169.1272
Violet,V15 (780),412,41,11.05121,816.318,1.577652,97.38234
Violet,V16 (812),384,38,10.98266,361.8265,1.716896,37.4306
Blue,B1 (508),677,16,2.420575,226.839,1.960262,426.085
Blue,B2 (525),376,4,1.075269,274.3675,1.780342,392.7208
Blue,B3 (542),387,10,2.65252,1053.063,1.707538,1235.425
Blue,B4 (581),333,5,1.52439,1656.808,1.667385,1325.349
Blue,B5 (598),350,4,1.156069,1838.911,1.607279,1363.629
Blue,B6 (615),230,2,0.877193,1897.76,1.783671,1133.642
Blue,B7 (661),361,2,0.557103,1140.811,1.719731,686.8568
Blue,B8 (679),363,0,0,921.4115,1.75624,528.4376
Blue,B9 (697),623,14,2.298851,1132.065,1.933551,496.2358
Blue,B10 (717),416,15,3.740649,778.505,1.860789,214.0437
Blue,B11 (738),241,6,2.553191,502.446,1.980465,138.9686
Blue,B12 (760),338,15,4.643963,491.886,1.909673,109.5755
Blue,B13 (783),516,32,6.61157,385.1485,2.132679,80.82569
Blue,B14 (812),526,25,4.99002,388.7275,2.00265,77.50134
YellowGreen,YG1 (577),330,-2,-0.6024096,1742.473,1.10927,1264.362
YellowGreen,YG2 (598),349,-2,-0.5698006,2419.572,1.050575,1748.184
YellowGreen,YG3 (615),240,1,0.41841,3273.515,1.202458,2238.227
YellowGreen,YG4 (661),416,-3,-0.7159905,1856.116,1.160774,1532.84
YellowGreen,YG5 (679),336,-1,-0.2967359,1597.432,1.241595,1285.908
YellowGreen,YG6 (697),482,-1,-0.2070393,1781.611,1.380093,742.1514
YellowGreen,YG7 (720),315,1,0.3184713,2410.366,1.354259,713.904
YellowGreen,YG8 (750),269,2,0.7490637,1226.92,1.437056,357.4703
YellowGreen,YG9 (780),387,-1,-0.2577319,1037.793,1.435749,232.3754
YellowGreen,YG10 (812),391,3,0.7731959,573.3535,1.352638,102.1755
Red,R1 (661),209,-7,-3.240741,391.115,1.239238,1325.247
Red,R2 (679),171,-1,-0.5813953,1077.453,1.225054,2765.079
Red,R3 (697),243,-1,-0.4098361,2032.786,1.225236,2170.222
Red,R4 (717),227,-1,-0.4385965,1920.234,1.111737,1292.824
Red,R5 (738),208,-2,-0.952381,1609.083,1.241174,969.6019
Red,R6 (760),164,0,0,1415.072,1.215375,705.0778
Red,R7 (783),326,-2,-0.6097561,1569.132,1.243383,563.5797
Red,R8 (812),199,0,0,774.828,1.237414,230.1747


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.3,1.156391,1.4
Violet,-20.075,1.061518,11.2
Blue,0,1.222641,1.45
Red,19.975,1.096451,65.2
UV,40.175,0.9479766,0
FSC Area Scaling Factor,1.26895,Window Extension,3
Flow Rate,10.39
Temperature,23
