DailyQCReport_U0321SP_20260212_074302


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,2068.477,2.821187,2312.969
Violet,SSC,26,6,30,1999.979,4.610168,12749.16
Blue,SSC-B,79,0,0,1988.566,2.821117,9887.945
UV,UV1 (373),1349,37,2.820122,221.793,4.21249,30.73753
UV,UV2 (388),329,15,4.77707,1330.552,1.463577,391.5693
UV,UV3 (428),598,26,4.545455,1012.867,1.592635,1545.733
UV,UV4 (443),1064,42,4.109589,887.0545,1.818782,2050.999
UV,UV5 (458),623,19,3.145695,956.356,1.681516,2834.28
UV,UV6 (473),447,19,4.439252,1458.948,1.652627,4966.491
UV,UV7 (514),594,27,4.761905,2032.173,1.779777,6886.382
UV,UV8 (542),538,29,5.697446,1546.265,1.672519,4782.949
UV,UV9 (582),606,23,3.945112,2481.38,1.721947,4388.882
UV,UV10 (613),362,13,3.724928,1957.91,1.670808,4562.045
UV,UV11 (664),525,16,3.143419,864.0695,1.738268,2084.965
UV,UV12 (692),428,16,3.883495,661.2605,1.820101,1222.563
UV,UV13 (720),810,40,5.194805,690.3845,1.995118,1227.107
UV,UV14 (750),1281,61,5,801.8605,2.206044,1579.297
UV,UV15 (780),785,39,5.227882,633.666,2.217015,807.6962
UV,UV16 (812),1114,38,3.531599,420.692,2.502734,622.7029
Violet,V1 (428),216,40,22.72727,798.3455,1.677275,1567.41
Violet,V2 (443),295,55,22.91667,1868.03,1.264882,3669.699
Violet,V3 (458),255,46,22.00957,2169.153,1.356521,4367.959
Violet,V4 (473),214,41,23.69942,2180.069,1.525031,3848.869
Violet,V5 (508),203,38,23.0303,2056.965,1.327263,3926.004
Violet,V6 (525),205,35,20.58824,1518.462,1.256306,3002.783
Violet,V7 (542),286,55,23.80952,2038.536,1.309403,3150.61
Violet,V8 (581),477,82,20.75949,2391.154,1.533234,1698.463
Violet,V9 (598),304,55,22.08835,2299.048,1.338296,1232.461
Violet,V10 (615),391,69,21.42857,3319.165,1.297943,1256.497
Violet,V11 (664),335,60,21.81818,1332.137,1.297087,582.9653
Violet,V12 (692),273,50,22.42152,1028.327,1.428519,291.3392
Violet,V13 (720),214,37,20.90396,1103.191,1.408452,200.9352
Violet,V14 (750),370,64,20.91503,933.348,1.35805,163.4595
Violet,V15 (780),450,79,21.2938,816.616,1.687231,103.8488
Violet,V16 (812),423,77,22.25434,363.487,2.015754,40.47402
Blue,B1 (508),674,13,1.966717,227.8065,1.862544,433.3919
Blue,B2 (525),373,1,0.2688172,276.9445,1.660478,403.6022
Blue,B3 (542),381,4,1.061008,1055.001,1.573008,1174.333
Blue,B4 (581),329,1,0.304878,1645.342,1.548193,1268.048
Blue,B5 (598),342,-4,-1.156069,1826.33,1.468884,1278.585
Blue,B6 (615),227,-1,-0.4385965,1902.755,1.618815,1050.66
Blue,B7 (661),359,0,0,1135.332,1.561658,631.6588
Blue,B8 (679),363,0,0,925.7075,1.565789,562.5746
Blue,B9 (697),618,9,1.477833,1133.187,1.754084,461.5185
Blue,B10 (717),418,17,4.239402,776.993,1.744457,211.8232
Blue,B11 (738),242,7,2.978724,505.1545,1.845017,142.5892
Blue,B12 (760),339,16,4.95356,489.4445,1.823948,112.1505
Blue,B13 (783),520,36,7.438017,387.7555,2.095149,75.89074
Blue,B14 (812),525,24,4.79042,388.172,2.014866,76.59172
YellowGreen,YG1 (577),328,-4,-1.204819,1749.156,1.073414,1250.716
YellowGreen,YG2 (598),351,0,0,2453.069,1.046328,1760.844
YellowGreen,YG3 (615),243,4,1.67364,3311.202,1.174702,2317.661
YellowGreen,YG4 (661),417,-2,-0.477327,1863.963,1.116693,1532.187
YellowGreen,YG5 (679),336,-1,-0.2967359,1592.812,1.172393,1284.685
YellowGreen,YG6 (697),484,1,0.2070393,1770.052,1.344126,737.8066
YellowGreen,YG7 (720),317,3,0.9554141,2402.735,1.330975,749.6224
YellowGreen,YG8 (750),271,4,1.498127,1227.265,1.459814,342.0065
YellowGreen,YG9 (780),391,3,0.7731959,1040.113,1.522539,232.6337
YellowGreen,YG10 (812),396,8,2.061856,571.4855,1.595076,101.51
Red,R1 (661),208,-8,-3.703704,390.0535,1.456314,1242.722
Red,R2 (679),172,0,0,1079.892,1.482229,2629.166
Red,R3 (697),248,4,1.639344,2042.908,1.52421,2328.877
Red,R4 (717),231,3,1.315789,1931.364,1.461074,1263.526
Red,R5 (738),210,0,0,1604.668,1.572463,892.0053
Red,R6 (760),165,1,0.6097561,1404.733,1.557556,689.0173
Red,R7 (783),331,3,0.9146341,1572.457,1.63297,584.1127
Red,R8 (812),202,3,1.507538,771.812,1.674492,238.4269


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.35,1.161608,1.5
Violet,-20.1,1.023938,11.3
Blue,0,1.232587,1.55
Red,20.125,1.106816,65.12
UV,40.275,0.9553308,0
FSC Area Scaling Factor,1.280003,Window Extension,3
Flow Rate,11.37
Temperature,24
