DailyQCReport_U0321SP_20260108_091032


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,2033.831,2.869746,2228.879
Violet,SSC,22,2,10,1980.244,4.46869,13485.49
Blue,SSC-B,80,1,1.265823,1989.369,2.900165,11195.35
UV,UV1 (373),1329,17,1.295732,223.1585,4.564332,31.12515
UV,UV2 (388),318,4,1.273885,1342.922,1.602142,401.4838
UV,UV3 (428),581,9,1.573427,1022.624,1.671027,1669.624
UV,UV4 (443),1029,7,0.6849315,898.938,1.927712,2117.39
UV,UV5 (458),610,6,0.9933775,961.166,1.816417,2810.955
UV,UV6 (473),433,5,1.168224,1477.744,1.784135,5449.004
UV,UV7 (514),570,3,0.5291005,2038.598,1.925019,7441.577
UV,UV8 (542),517,8,1.571709,1562.438,1.831037,4786.227
UV,UV9 (582),592,9,1.543739,2485.667,1.926675,4886.527
UV,UV10 (613),357,8,2.292264,1971.731,1.828646,4724.612
UV,UV11 (664),509,0,0,869.4825,1.867379,2140.694
UV,UV12 (692),421,9,2.184466,674.654,1.945691,1332.878
UV,UV13 (720),796,26,3.376623,702.4995,2.189662,1220.644
UV,UV14 (750),1274,54,4.426229,820.446,2.418908,1676.016
UV,UV15 (780),778,32,4.289545,646.673,2.408211,872.6587
UV,UV16 (812),1096,20,1.858736,431.9755,2.711596,636.7588
Violet,V1 (428),188,12,6.818182,794.237,1.316732,1408.522
Violet,V2 (443),259,19,7.916667,1840.1,0.9460856,3284.091
Violet,V3 (458),225,16,7.655502,2150.747,1.047271,4263.933
Violet,V4 (473),187,14,8.092485,2163.343,1.210369,3467.798
Violet,V5 (508),176,11,6.666667,2038.796,1.006141,3779.121
Violet,V6 (525),182,12,7.058824,1513.331,0.9267697,2785.23
Violet,V7 (542),250,19,8.225108,2026.288,1.028661,2806.156
Violet,V8 (581),419,24,6.075949,2362.115,1.32592,1651.134
Violet,V9 (598),269,20,8.032128,2279.092,1.147812,1174.655
Violet,V10 (615),345,23,7.142858,3255.298,1.100656,1098.987
Violet,V11 (664),293,18,6.545454,1323.91,1.161809,520.4303
Violet,V12 (692),243,20,8.96861,1035.984,1.418631,300.468
Violet,V13 (720),194,17,9.60452,1112.622,1.527994,179.4867
Violet,V14 (750),339,33,10.78431,954.054,1.454791,164.3597
Violet,V15 (780),406,35,9.433963,822.7755,1.898262,90.68214
Violet,V16 (812),386,40,11.56069,370.7845,2.259201,37.92616
Blue,B1 (508),653,-8,-1.210287,222.2905,2.026809,449.4009
Blue,B2 (525),371,-1,-0.2688172,275.158,1.833682,396.7209
Blue,B3 (542),376,-1,-0.265252,1041.66,1.782805,1280.318
Blue,B4 (581),331,3,0.9146341,1623.599,1.738754,1330.263
Blue,B5 (598),355,9,2.601156,1819.233,1.709554,1379.683
Blue,B6 (615),234,6,2.631579,1889.35,1.85985,1099.957
Blue,B7 (661),360,1,0.2785515,1136.906,1.809422,645.6394
Blue,B8 (679),369,6,1.652892,921.6775,1.844199,508.8052
Blue,B9 (697),624,15,2.463054,1129.867,2.053877,503.3365
Blue,B10 (717),415,14,3.491272,773.658,2.101381,213.5481
Blue,B11 (738),241,6,2.553191,503.629,2.254986,144.1717
Blue,B12 (760),335,12,3.71517,493.367,2.219593,109.5632
Blue,B13 (783),509,25,5.165289,387.94,2.463621,78.64291
Blue,B14 (812),531,30,5.988024,389.754,2.424862,77.14126
YellowGreen,YG1 (577),329,-3,-0.9036144,1744.863,1.183959,1306.314
YellowGreen,YG2 (598),359,8,2.279202,2462.192,1.098485,1834.017
YellowGreen,YG3 (615),247,8,3.34728,3310.761,1.248251,2264.059
YellowGreen,YG4 (661),413,-6,-1.431981,1831.434,1.223786,1563.738
YellowGreen,YG5 (679),340,3,0.8902078,1595.894,1.291383,1309.084
YellowGreen,YG6 (697),494,11,2.277433,1772.943,1.484015,748.1619
YellowGreen,YG7 (720),326,12,3.821656,2438.41,1.564037,759.756
YellowGreen,YG8 (750),280,13,4.868914,1253.156,1.731775,367.8709
YellowGreen,YG9 (780),406,18,4.639175,1068.32,1.783262,229.1751
YellowGreen,YG10 (812),407,19,4.896907,578.402,1.943776,109.4453
Red,R1 (661),198,-18,-8.333334,380.4915,1.280563,1216.033
Red,R2 (679),170,-2,-1.162791,1070.36,1.241227,2683.685
Red,R3 (697),252,8,3.278688,2057.158,1.330598,2294.699
Red,R4 (717),236,8,3.508772,1972.54,1.320021,1405.655
Red,R5 (738),219,9,4.285715,1661.071,1.490255,1100.762
Red,R6 (760),171,7,4.268293,1437.869,1.417516,671.2715
Red,R7 (783),340,12,3.658536,1609.318,1.564384,562.9893
Red,R8 (812),211,12,6.030151,802.52,1.719828,242.4755


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.325,1.15376,1.475
Violet,-20.075,1.079551,11.2
Blue,0,1.217986,1.45
Red,19.95,1.090181,64.92
UV,40.27501,0.9457906,0
FSC Area Scaling Factor,1.263604,Window Extension,3
Flow Rate,12.35
Temperature,22.88
