DailyQCReport_U0321SP_20260211_071711


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,2032.21,2.337225,1572.18
Violet,SSC,25,5,25,2017.324,4.404717,14006.04
Blue,SSC-B,80,1,1.265823,2003.613,2.696341,10275.32
UV,UV1 (373),1375,63,4.801829,226.856,4.223708,31.29855
UV,UV2 (388),329,15,4.77707,1326.191,1.48919,385.5547
UV,UV3 (428),599,27,4.72028,1003.643,1.634097,1588.958
UV,UV4 (443),1065,43,4.207437,878.4035,1.896206,2031.609
UV,UV5 (458),633,29,4.801324,961.5535,1.765254,2729.566
UV,UV6 (473),449,21,4.906542,1468.219,1.723729,4988.292
UV,UV7 (514),595,28,4.938272,2021.729,1.863276,6975.875
UV,UV8 (542),533,24,4.715128,1520.773,1.788725,4874.257
UV,UV9 (582),610,27,4.631218,2476.496,1.874533,4409.35
UV,UV10 (613),362,13,3.724928,1958.683,1.78872,4701.629
UV,UV11 (664),533,24,4.715128,877.714,1.830403,2265.528
UV,UV12 (692),430,18,4.368932,663.7705,1.97461,1224.821
UV,UV13 (720),814,44,5.714286,699.378,2.323983,1182.659
UV,UV14 (750),1289,69,5.655737,804.142,2.542586,1623.402
UV,UV15 (780),796,50,6.702413,642.3255,2.567933,803.8506
UV,UV16 (812),1127,51,4.739777,427.7635,2.941447,638.3267
Violet,V1 (428),210,34,19.31818,801.2935,1.246613,1627.671
Violet,V2 (443),283,43,17.91667,1854.001,0.8931416,3532.081
Violet,V3 (458),246,37,17.70335,2155.908,0.9905957,4240.279
Violet,V4 (473),208,35,20.23121,2189.822,1.144077,3802.197
Violet,V5 (508),196,31,18.78788,2051.66,0.9670808,4045.926
Violet,V6 (525),197,27,15.88235,1514.479,0.9201674,3049.969
Violet,V7 (542),276,45,19.48052,2043.676,1.027723,2922.098
Violet,V8 (581),457,62,15.6962,2376.188,1.309415,1722.198
Violet,V9 (598),291,42,16.86747,2287.271,1.127278,1202.078
Violet,V10 (615),373,51,15.83851,3286.952,1.082758,1182.315
Violet,V11 (664),319,44,16,1322.153,1.099292,500.7602
Violet,V12 (692),262,39,17.48879,1026.065,1.358283,297.7704
Violet,V13 (720),207,30,16.94915,1108.844,1.597885,193.1994
Violet,V14 (750),358,52,16.99347,943.067,1.58461,164.5519
Violet,V15 (780),439,68,18.32884,828.1725,1.973389,92.6308
Violet,V16 (812),411,65,18.78613,364.975,2.316089,39.93485
Blue,B1 (508),678,17,2.571861,226.9755,1.927286,420.9751
Blue,B2 (525),377,5,1.344086,278.5005,1.733198,396.2408
Blue,B3 (542),389,12,3.183024,1066.47,1.660847,1229.092
Blue,B4 (581),336,8,2.439024,1649.502,1.637634,1334.341
Blue,B5 (598),352,6,1.734104,1850.766,1.600554,1326.018
Blue,B6 (615),230,2,0.877193,1894.888,1.761753,1003.18
Blue,B7 (661),358,-1,-0.2785515,1131.895,1.695579,606.5645
Blue,B8 (679),364,1,0.2754821,924.6665,1.757218,558.7263
Blue,B9 (697),617,8,1.313629,1140.713,2.068432,475.1835
Blue,B10 (717),414,13,3.241895,774.6795,2.157952,210.6062
Blue,B11 (738),243,8,3.404255,510.4985,2.391364,146.0074
Blue,B12 (760),337,14,4.334365,495.0065,2.412643,115.9779
Blue,B13 (783),521,37,7.644628,392.188,2.654184,81.41463
Blue,B14 (812),532,31,6.187625,390.671,2.644583,80.89452
YellowGreen,YG1 (577),328,-4,-1.204819,1736.551,1.180205,1304.118
YellowGreen,YG2 (598),349,-2,-0.5698006,2407.755,1.141616,1733.748
YellowGreen,YG3 (615),241,2,0.8368201,3255.143,1.250452,2445.073
YellowGreen,YG4 (661),414,-5,-1.193317,1826.736,1.154729,1555.121
YellowGreen,YG5 (679),340,3,0.8902078,1604.408,1.246015,1305.146
YellowGreen,YG6 (697),491,8,1.656315,1789.259,1.566682,733.5765
YellowGreen,YG7 (720),322,8,2.547771,2420.803,1.660671,732.9627
YellowGreen,YG8 (750),276,9,3.370786,1241.764,1.840716,376.373
YellowGreen,YG9 (780),400,12,3.092783,1052.608,1.941215,231.4899
YellowGreen,YG10 (812),407,19,4.896907,580.795,2.043765,106.4921
Red,R1 (661),208,-8,-3.703704,390.1045,1.187351,1316.47
Red,R2 (679),172,0,0,1081.306,1.217062,2699.044
Red,R3 (697),250,6,2.459016,2046.833,1.446015,2188.82
Red,R4 (717),235,7,3.070175,1954.856,1.517941,1302.099
Red,R5 (738),215,5,2.380952,1642.777,1.742757,1018.618
Red,R6 (760),169,5,3.04878,1426.167,1.691866,726.8957
Red,R7 (783),339,11,3.353659,1607.485,1.795246,573.0049
Red,R8 (812),210,11,5.527638,800.3005,1.962101,239.3048


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.4,1.152756,1.45
Violet,-20.1,1.053664,11.1
Blue,0,1.218354,1.5
Red,20.05,1.089405,65
UV,40.35,0.9510017,0
FSC Area Scaling Factor,1.264946,Window Extension,3
Flow Rate,11.83
Temperature,22.88
