DailyQCReport_U0321SP_20260223_084531


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,167,-7,-4.022989,1921.186,2.392404,2084.477
Violet,SSC,25,5,25,1965.381,4.63969,12332.52
Blue,SSC-B,82,3,3.797468,2001.757,2.861931,11382.04
UV,UV1 (373),1399,87,6.631097,220.261,4.738565,31.06218
UV,UV2 (388),340,26,8.280255,1335.616,1.588222,384.9318
UV,UV3 (428),610,38,6.643356,1011.725,1.703707,1585.181
UV,UV4 (443),1093,71,6.947163,879.159,2.002622,2003.886
UV,UV5 (458),652,48,7.94702,954.143,1.896539,2960.671
UV,UV6 (473),460,32,7.476635,1471.286,1.883846,5153.913
UV,UV7 (514),608,41,7.23104,2026.045,2.040216,7069.873
UV,UV8 (542),553,44,8.644401,1544.79,1.914197,4583.876
UV,UV9 (582),623,40,6.861063,2439.614,1.963812,4509.516
UV,UV10 (613),375,26,7.449856,1949.719,1.85978,4621.191
UV,UV11 (664),542,33,6.483301,868.868,1.886791,2313.461
UV,UV12 (692),439,27,6.553398,670.249,1.943784,1233.07
UV,UV13 (720),824,54,7.012987,692.479,2.107059,1132.172
UV,UV14 (750),1294,74,6.065574,790.769,2.276952,1549.521
UV,UV15 (780),799,53,7.104558,637.258,2.235344,811.4517
UV,UV16 (812),1143,67,6.226766,425.068,2.523654,617.3057
Violet,V1 (428),215,39,22.15909,799.239,1.41467,1517.747
Violet,V2 (443),290,50,20.83333,1859.209,0.9856347,3382.727
Violet,V3 (458),252,43,20.57416,2170.043,1.098906,4719.639
Violet,V4 (473),213,40,23.12139,2199.095,1.25981,3614.661
Violet,V5 (508),202,37,22.42424,2061.192,1.030036,3895.782
Violet,V6 (525),204,34,20,1518.663,0.9568302,2873.449
Violet,V7 (542),286,55,23.80952,2059.091,1.042694,3000.36
Violet,V8 (581),471,76,19.24051,2385.977,1.328043,1740.324
Violet,V9 (598),299,50,20.08032,2278.447,1.126939,1154.198
Violet,V10 (615),387,65,20.18633,3320.61,1.077703,1277.726
Violet,V11 (664),328,53,19.27273,1337.191,1.135462,532.0347
Violet,V12 (692),267,44,19.73094,1030.525,1.37343,312.4144
Violet,V13 (720),209,32,18.0791,1102.401,1.354215,201.0007
Violet,V14 (750),363,57,18.62745,940.599,1.212023,170.2029
Violet,V15 (780),441,70,18.86793,820.545,1.599707,98.32353
Violet,V16 (812),412,66,19.07515,363.46,1.865419,40.16156
Blue,B1 (508),669,8,1.210287,223.794,1.932259,404.9884
Blue,B2 (525),375,3,0.8064516,276.816,1.728221,386.3854
Blue,B3 (542),378,1,0.265252,1055.864,1.660053,1316.265
Blue,B4 (581),329,1,0.304878,1646.074,1.619049,1268.077
Blue,B5 (598),353,7,2.023121,1844.612,1.578344,1310.82
Blue,B6 (615),232,4,1.754386,1900.566,1.735778,1024.084
Blue,B7 (661),368,9,2.506964,1134.274,1.662345,605.2396
Blue,B8 (679),371,8,2.203857,925.496,1.728741,560.6606
Blue,B9 (697),631,22,3.61248,1144.395,1.921125,483.0838
Blue,B10 (717),408,7,1.745636,769.416,1.877002,216.2698
Blue,B11 (738),238,3,1.276596,506.964,1.954756,141.0174
Blue,B12 (760),326,3,0.9287925,491.638,1.883827,108.5232
Blue,B13 (783),484,0,0,388.729,2.0749,76.48276
Blue,B14 (812),502,1,0.1996008,387.33,1.970561,75.02025
YellowGreen,YG1 (577),333,1,0.3012048,1752.252,1.141413,1287.705
YellowGreen,YG2 (598),353,2,0.5698006,2458.991,1.060973,1686.07
YellowGreen,YG3 (615),242,3,1.25523,3278.466,1.225345,2357.268
YellowGreen,YG4 (661),421,2,0.477327,1876.772,1.199783,1676.609
YellowGreen,YG5 (679),336,-1,-0.2967359,1590.122,1.264196,1260.946
YellowGreen,YG6 (697),484,1,0.2070393,1767.894,1.419435,733.8112
YellowGreen,YG7 (720),316,2,0.6369427,2398.796,1.412573,720.2146
YellowGreen,YG8 (750),270,3,1.123595,1227.16,1.485876,372.5302
YellowGreen,YG9 (780),388,0,0,1032.838,1.469893,231.2444
YellowGreen,YG10 (812),396,8,2.061856,575.17,1.408563,102.9042
Red,R1 (661),208,-8,-3.703704,390.161,1.290681,1306.695
Red,R2 (679),170,-2,-1.162791,1078.634,1.296466,2689.102
Red,R3 (697),245,1,0.4098361,2047.773,1.284633,2226.606
Red,R4 (717),226,-2,-0.877193,1900.032,1.178343,1237.102
Red,R5 (738),209,-1,-0.4761905,1611.9,1.29339,1121.51
Red,R6 (760),164,0,0,1412.21,1.314342,709.1306
Red,R7 (783),326,-2,-0.6097561,1564.41,1.306407,573.6864
Red,R8 (812),200,1,0.5025126,774.121,1.291194,232.252


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.4,1.155984,1.45
Violet,-20.1,1.042858,11.2
Blue,0,1.223796,1.475
Red,20.05,1.095831,65.08
UV,40.325,0.9554961,0
FSC Area Scaling Factor,1.26881,Window Extension,3
Flow Rate,13.84
Temperature,23.12
