DailyQCReport_U0321SP_20260124_104813


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,165,-9,-5.172414,1921.783,2.947779,2650.836
Violet,SSC,24,4,20,1982.81,4.617785,12736.58
Blue,SSC-B,79,0,0,2000.522,2.884928,10616.48
UV,UV1 (373),1324,12,0.9146341,219.457,4.529996,30.03601
UV,UV2 (388),320,6,1.910828,1315.99,1.566974,378.9683
UV,UV3 (428),582,10,1.748252,1003.434,1.575859,1618.328
UV,UV4 (443),1037,15,1.46771,884.9955,1.826668,2068.256
UV,UV5 (458),617,13,2.152318,957.382,1.665958,2897.981
UV,UV6 (473),434,6,1.401869,1454.682,1.628528,4901.435
UV,UV7 (514),575,8,1.410935,2009.486,1.768668,7234.881
UV,UV8 (542),519,10,1.964637,1537.825,1.676408,4659.086
UV,UV9 (582),595,12,2.058319,2448.265,1.731148,4653.818
UV,UV10 (613),357,8,2.292264,1946.963,1.657966,4854.889
UV,UV11 (664),521,12,2.357564,868.8565,1.707678,2953.019
UV,UV12 (692),417,5,1.213592,656.7935,1.739648,1304.135
UV,UV13 (720),789,19,2.467532,694.4285,1.93868,1188.043
UV,UV14 (750),1245,25,2.04918,799.677,2.139676,1615.866
UV,UV15 (780),764,18,2.412869,628.513,2.059267,772.1455
UV,UV16 (812),1094,18,1.672863,427.316,2.435384,608.3802
Violet,V1 (428),204,28,15.90909,799.1105,1.633808,1528.67
Violet,V2 (443),279,39,16.25,1878.437,1.177633,3441.402
Violet,V3 (458),241,32,15.311,2157.466,1.273064,4187.678
Violet,V4 (473),203,30,17.34104,2177.147,1.450865,3674.7
Violet,V5 (508),192,27,16.36364,2060.821,1.255243,3721.484
Violet,V6 (525),194,24,14.11765,1517.89,1.171985,2931.931
Violet,V7 (542),271,40,17.31602,2040.944,1.254291,3121.9
Violet,V8 (581),453,58,14.68354,2380.667,1.502263,1632.717
Violet,V9 (598),288,39,15.66265,2284.83,1.289175,1189.69
Violet,V10 (615),375,53,16.45963,3306.652,1.242317,1156.829
Violet,V11 (664),317,42,15.27273,1337.653,1.293183,517.8366
Violet,V12 (692),258,35,15.69507,1025.339,1.474029,292.1884
Violet,V13 (720),203,26,14.68927,1100.854,1.464009,185.7852
Violet,V14 (750),352,46,15.03268,940.664,1.330323,162.7671
Violet,V15 (780),425,54,14.55526,813.7685,1.721829,98.7635
Violet,V16 (812),398,52,15.0289,361.953,2.02793,37.67013
Blue,B1 (508),666,5,0.7564297,225.2835,1.891525,437.1728
Blue,B2 (525),373,1,0.2688172,277.842,1.632031,398.7761
Blue,B3 (542),384,7,1.856764,1066.693,1.567562,1219.099
Blue,B4 (581),328,0,0,1639.62,1.544052,1305.763
Blue,B5 (598),345,-1,-0.2890173,1836.837,1.480959,1303.272
Blue,B6 (615),227,-1,-0.4385965,1894.55,1.632353,1080.669
Blue,B7 (661),357,-2,-0.557103,1135.604,1.590972,645.7551
Blue,B8 (679),360,-3,-0.8264462,916.171,1.597264,568.6367
Blue,B9 (697),612,3,0.4926108,1135.048,1.752098,475.1438
Blue,B10 (717),417,16,3.990025,778.096,1.757876,219.873
Blue,B11 (738),241,6,2.553191,503.937,1.829874,138.2522
Blue,B12 (760),337,14,4.334365,490.3205,1.787173,112.8239
Blue,B13 (783),515,31,6.404959,384.0515,2.047635,81.5934
Blue,B14 (812),525,24,4.79042,390.2795,1.952641,75.35544
YellowGreen,YG1 (577),330,-2,-0.6024096,1751.239,1.092085,1329.656
YellowGreen,YG2 (598),353,2,0.5698006,2467.405,1.039242,1789.138
YellowGreen,YG3 (615),240,1,0.41841,3258.217,1.172613,2269.879
YellowGreen,YG4 (661),415,-4,-0.954654,1868.494,1.120276,1585.292
YellowGreen,YG5 (679),336,-1,-0.2967359,1596.303,1.178498,1271.772
YellowGreen,YG6 (697),479,-4,-0.8281574,1772.543,1.322288,726.168
YellowGreen,YG7 (720),315,1,0.3184713,2401.94,1.288347,720.0403
YellowGreen,YG8 (750),269,2,0.7490637,1224.296,1.412263,362.0535
YellowGreen,YG9 (780),386,-2,-0.5154639,1029.24,1.407727,215.8971
YellowGreen,YG10 (812),392,4,1.030928,571.2925,1.502713,98.32527
Red,R1 (661),205,-11,-5.092593,392.0855,1.498998,1203.616
Red,R2 (679),170,-2,-1.162791,1075.655,1.451992,2576.729
Red,R3 (697),245,1,0.4098361,2038.885,1.407947,2222.604
Red,R4 (717),228,0,0,1912.425,1.30444,1287.454
Red,R5 (738),210,0,0,1617.347,1.39642,983.4032
Red,R6 (760),164,0,0,1407.156,1.412958,706.8293
Red,R7 (783),327,-1,-0.304878,1567.541,1.419793,544.8365
Red,R8 (812),201,2,1.005025,776.1175,1.406459,226.3979


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.425,1.162018,1.425
Violet,-20.125,1.046679,11.1
Blue,0,1.232928,1.475
Red,20.05,1.106123,65
UV,40.22499,0.953005,0
FSC Area Scaling Factor,1.279966,Window Extension,3
Flow Rate,11.37
Temperature,23.5
