DailyQCReport_U0321SP_20260112_071217


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,174,0,0,2067.362,2.400913,2305.949
Violet,SSC,23,3,15,2031.57,4.52893,13141.96
Blue,SSC-B,80,1,1.265823,2003.711,2.809073,10967.62
UV,UV1 (373),1258,-54,-4.115854,220.706,4.732804,30.43583
UV,UV2 (388),299,-15,-4.77707,1322.045,1.749981,372.4673
UV,UV3 (428),551,-21,-3.671329,1022.414,1.609795,1549.002
UV,UV4 (443),964,-58,-5.675147,880.74,1.78132,2044.134
UV,UV5 (458),580,-24,-3.97351,962.23,1.648349,2934.667
UV,UV6 (473),407,-21,-4.906542,1459.55,1.580178,5019.858
UV,UV7 (514),537,-30,-5.291005,2038.221,1.721982,7631.61
UV,UV8 (542),478,-31,-6.090373,1538.401,1.754883,4787.612
UV,UV9 (582),540,-43,-7.375643,2458.295,1.910351,4439.018
UV,UV10 (613),328,-21,-6.017192,1958.602,1.605969,4612.452
UV,UV11 (664),483,-26,-5.108055,858.41,1.732432,2199.188
UV,UV12 (692),414,2,0.4854369,661.838,2.743522,1254.506
UV,UV13 (720),807,37,4.805195,678.553,3.88602,1172.569
UV,UV14 (750),1296,76,6.229508,774.757,4.291135,1468.134
UV,UV15 (780),801,55,7.372654,617.102,4.605672,813.0642
UV,UV16 (812),1154,78,7.249071,412.085,4.892352,630.1428
Violet,V1 (428),193,17,9.659091,799.008,1.530057,1412.985
Violet,V2 (443),266,26,10.83333,1859.49,1.113516,3364.6
Violet,V3 (458),232,23,11.00478,2167.787,1.230468,4383.672
Violet,V4 (473),192,19,10.98266,2183.957,1.444332,3879.276
Violet,V5 (508),180,15,9.090909,2065.573,1.321943,3927.321
Violet,V6 (525),184,14,8.235294,1522.994,1.30223,2824.012
Violet,V7 (542),253,22,9.523809,2040.314,1.484835,3077.846
Violet,V8 (581),422,27,6.835443,2392.544,1.859634,1732.039
Violet,V9 (598),264,15,6.024096,2275.057,1.475281,1234.394
Violet,V10 (615),345,23,7.142858,3296.683,1.285295,1164.277
Violet,V11 (664),299,24,8.727273,1319.775,1.223753,525.9925
Violet,V12 (692),252,29,13.00449,1008.203,2.3153,275.7006
Violet,V13 (720),211,34,19.20904,1087.085,3.462711,183.9363
Violet,V14 (750),371,65,21.24183,910.406,3.777348,163.1264
Violet,V15 (780),457,86,23.18059,799.543,4.329495,93.05659
Violet,V16 (812),432,86,24.85549,352.571,4.579732,37.36453
Blue,B1 (508),646,-15,-2.269289,225.782,1.892746,427.4886
Blue,B2 (525),360,-12,-3.225806,278.414,1.69885,387.3042
Blue,B3 (542),363,-14,-3.713528,1066.091,1.685337,1409.762
Blue,B4 (581),318,-10,-3.04878,1657.739,1.724862,1286.925
Blue,B5 (598),338,-8,-2.312139,1835.926,1.580231,1360.576
Blue,B6 (615),226,-2,-0.877193,1919.031,1.640884,1131.647
Blue,B7 (661),356,-3,-0.8356546,1145.944,1.575547,672.3498
Blue,B8 (679),370,7,1.928375,922.671,1.762693,523.0256
Blue,B9 (697),646,37,6.075533,1121.605,2.671963,487.6031
Blue,B10 (717),428,27,6.733167,753.929,3.196681,212.6166
Blue,B11 (738),256,21,8.936171,499.221,3.532023,138.7748
Blue,B12 (760),354,31,9.597524,479.125,3.769692,109.3249
Blue,B13 (783),537,53,10.95041,379.523,4.120796,75.42868
Blue,B14 (812),566,65,12.97405,380.937,4.166117,77.66585
YellowGreen,YG1 (577),313,-19,-5.722891,1745.674,1.382896,1248.5
YellowGreen,YG2 (598),335,-16,-4.558404,2419.391,1.034829,1740.359
YellowGreen,YG3 (615),232,-7,-2.92887,3257.315,1.276357,2284.937
YellowGreen,YG4 (661),409,-10,-2.386635,1857.949,1.352528,1604.458
YellowGreen,YG5 (679),339,2,0.5934718,1595.325,1.879162,1322.728
YellowGreen,YG6 (697),503,20,4.140787,1729.376,3.072253,715.4603
YellowGreen,YG7 (720),339,25,7.961783,2339.573,3.806312,722.2523
YellowGreen,YG8 (750),295,28,10.48689,1204.191,4.146634,367.3086
YellowGreen,YG9 (780),429,41,10.56701,1010.66,4.564662,223.6354
YellowGreen,YG10 (812),442,54,13.91753,548.584,4.820348,100.3269
Red,R1 (661),216,0,0,391.363,1.567468,1306.83
Red,R2 (679),179,7,4.069767,1073.62,2.035861,2577.433
Red,R3 (697),266,22,9.016393,1951.059,3.406262,2051.533
Red,R4 (717),258,30,13.1579,1883.623,4.170414,1238.184
Red,R5 (738),240,30,14.28572,1552.445,4.332484,998.0025
Red,R6 (760),189,25,15.2439,1371.535,4.336787,706.2736
Red,R7 (783),378,50,15.2439,1528.83,4.56725,524.3702
Red,R8 (812),236,37,18.59296,753.896,4.759606,218.7822


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.375,1.159069,1.425
Violet,-20.125,1.064023,11.1
Blue,0,1.228737,1.5
Red,20.075,1.099216,64.96
UV,40.325,0.947323,0
FSC Area Scaling Factor,1.277357,Window Extension,3
Flow Rate,11.59
Temperature,23.5
