DailyQCReport_U0321SP_20260225_090406


Configuration Name,5-Laser-V16-B14-R8-YG10-UV16
Serial Number,U0321SP
Bead Lot ID,2007
Software,SpectroFlo 3.3.0


Laser,Detector,Gain, Delta Gain,% Gain Change,Median, % rCV,Sensitivity
Detector Settings
Blue,FSC,167,-7,-4.022989,1923.361,2.362355,2591.17
Violet,SSC,25,5,25,1961.584,4.596097,12298.86
Blue,SSC-B,81,2,2.531646,2020.069,2.789145,12358.04
UV,UV1 (373),1415,103,7.85061,233.29,5.19164,32.04095
UV,UV2 (388),337,23,7.324841,1356.337,1.891204,391.4971
UV,UV3 (428),606,34,5.944056,1029.212,1.553535,1662.533
UV,UV4 (443),1095,73,7.142858,907.026,1.697613,2083.931
UV,UV5 (458),649,45,7.450331,986.94,1.571519,2941.317
UV,UV6 (473),457,29,6.775701,1496.663,1.470742,5251.751
UV,UV7 (514),603,36,6.349207,2060.261,1.617595,7456.941
UV,UV8 (542),546,37,7.269155,1566.623,1.513549,4919.59
UV,UV9 (582),625,42,7.204117,2511.909,1.571421,4466.965
UV,UV10 (613),376,27,7.736389,2026.553,1.507503,4812.394
UV,UV11 (664),535,26,5.108055,880.537,1.634528,2269.915
UV,UV12 (692),434,22,5.339806,675.663,1.68209,1296.788
UV,UV13 (720),833,63,8.181818,720.886,1.891869,1183.117
UV,UV14 (750),1317,97,7.95082,829.657,2.121892,1746.311
UV,UV15 (780),800,54,7.238605,649.359,2.150414,829.6376
UV,UV16 (812),1146,70,6.505577,433.721,2.499858,654.5132
Violet,V1 (428),214,38,21.59091,796.908,1.349315,1489.799
Violet,V2 (443),290,50,20.83333,1850.885,0.9580462,3323.57
Violet,V3 (458),249,40,19.13876,2123.854,1.05136,4415.405
Violet,V4 (473),210,37,21.38728,2157.233,1.224122,3746.05
Violet,V5 (508),200,35,21.21212,2038.519,1.023245,3885.232
Violet,V6 (525),203,33,19.41176,1518.878,0.9444858,2853.333
Violet,V7 (542),282,51,22.07792,2034.859,1.034164,3151.851
Violet,V8 (581),468,73,18.48101,2349.452,1.313748,1699.098
Violet,V9 (598),300,51,20.48193,2289.521,1.103352,1189.175
Violet,V10 (615),384,62,19.25466,3260.031,1.048446,1143.789
Violet,V11 (664),322,47,17.09091,1304.639,1.119753,509.8867
Violet,V12 (692),266,43,19.28251,1021.134,1.329023,291.0356
Violet,V13 (720),210,33,18.64407,1099.006,1.329729,185.8519
Violet,V14 (750),362,56,18.30065,928.823,1.21394,159.2294
Violet,V15 (780),442,71,19.13747,812.976,1.5737,93.32735
Violet,V16 (812),414,68,19.65318,360.693,1.871136,38.09351
Blue,B1 (508),670,9,1.361573,232.582,1.895135,450.8714
Blue,B2 (525),373,1,0.2688172,280.115,1.7294,410.4659
Blue,B3 (542),384,7,1.856764,1060.622,1.636702,1297.083
Blue,B4 (581),338,10,3.04878,1651.418,1.588693,1297.532
Blue,B5 (598),357,11,3.179191,1839.237,1.567485,1333.424
Blue,B6 (615),236,8,3.508772,1914.215,1.726113,1075.152
Blue,B7 (661),365,6,1.671309,1152.316,1.670033,633.7374
Blue,B8 (679),367,4,1.101928,925.761,1.734091,545.7784
Blue,B9 (697),622,13,2.134647,1134.986,1.937626,486.4084
Blue,B10 (717),412,11,2.743142,779.469,1.914768,220.4856
Blue,B11 (738),240,5,2.12766,504.899,2.014758,146.4191
Blue,B12 (760),330,7,2.167183,488.545,1.962959,111.786
Blue,B13 (783),500,16,3.305785,382.076,2.195945,78.12167
Blue,B14 (812),524,23,4.590818,385.778,2.116523,76.49671
YellowGreen,YG1 (577),334,2,0.6024096,1766.194,1.112772,1259.904
YellowGreen,YG2 (598),359,8,2.279202,2454.803,1.034776,1779.173
YellowGreen,YG3 (615),250,11,4.60251,3361.299,1.214927,2391.948
YellowGreen,YG4 (661),417,-2,-0.477327,1842.686,1.197091,1639.675
YellowGreen,YG5 (679),343,6,1.780416,1613.942,1.269084,1300.376
YellowGreen,YG6 (697),498,15,3.10559,1803.526,1.434521,772.0897
YellowGreen,YG7 (720),324,10,3.184713,2425.334,1.440675,735.7565
YellowGreen,YG8 (750),277,10,3.745318,1238.264,1.559029,359.584
YellowGreen,YG9 (780),402,14,3.608247,1056.966,1.565218,233.9161
YellowGreen,YG10 (812),404,16,4.123711,571.539,1.556314,104.3506
Red,R1 (661),199,-17,-7.87037,377.694,1.291947,1281.502
Red,R2 (679),169,-3,-1.744186,1073.117,1.284341,2624.143
Red,R3 (697),246,2,0.8196721,2030.382,1.237599,2228.413
Red,R4 (717),232,4,1.754386,1947.684,1.137957,1250.252
Red,R5 (738),212,2,0.952381,1625.897,1.264675,1004.638
Red,R6 (760),166,2,1.219512,1415.871,1.260678,698.9644
Red,R7 (783),334,6,1.829268,1589.057,1.319938,591.3735
Red,R8 (812),205,6,3.015075,785.81,1.341002,234.4811


Laser Settings
Laser, Laser Delay, Area Scaling Factor, Laser Power
YellowGreen,-40.425,1.155144,1.5
Violet,-20.125,1.043122,11.2
Blue,0,1.22108,1.5
Red,20.075,1.093203,65.12
UV,40.375,0.9556062,0
FSC Area Scaling Factor,1.267546,Window Extension,3
Flow Rate,12.99
Temperature,23
